job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-streaming,1595583953094,1595583953108,1595583953624,1595583953651
emergency-stop-table,1595583953094,1595583953108,1595583953886,1595583953913
emergency-stop-streaming,1595583953844,1595583953889,1595583954828,1595583954934
emergency-stop-table,1595583953844,1595583953889,1595583954991,1595583955017
emergency-stop-streaming,1595583954841,1595583954945,1595583955248,1595583955292
emergency-stop-table,1595583954841,1595583954945,1595583955295,1595583955301
emergency-stop-streaming,1595583955875,1595583956049,1595583956533,1595583956541
emergency-stop-table,1595583955875,1595583956049,1595583956847,1595583956853
emergency-stop-streaming,1595583956880,1595583956960,1595583957656,1595583957690
emergency-stop-table,1595583956880,1595583956960,1595583957690,1595583957753
emergency-stop-table,1595583957892,1595583958074,1595583958460,1595583958469
emergency-stop-streaming,1595583957892,1595583958074,1595583958450,1595583958473
emergency-stop-table,1595583958899,1595583959079,1595583959416,1595583959419
emergency-stop-streaming,1595583958899,1595583959079,1595583959469,1595583959494
emergency-stop-streaming,1595583959922,1595583960024,1595583960329,1595583960333
emergency-stop-table,1595583959922,1595583960024,1595583960425,1595583960433
emergency-stop-streaming,1595583961892,1595583962013,1595583962380,1595583962410
emergency-stop-streaming,1595583960925,1595583961003,1595583962405,1595583962438
emergency-stop-table,1595583961892,1595583962013,1595583962427,1595583962439
emergency-stop-table,1595583960925,1595583961003,1595583962466,1595583962476
emergency-stop-streaming,1595583962944,1595583963037,1595583963390,1595583963409
emergency-stop-table,1595583962944,1595583963037,1595583963522,1595583963531
emergency-stop-streaming,1595583963948,1595583964043,1595583964337,1595583964344
emergency-stop-table,1595583963948,1595583964043,1595583964400,1595583964404
emergency-stop-streaming,1595583964984,1595583965121,1595583965450,1595583965457
emergency-stop-table,1595583964984,1595583965121,1595583965494,1595583965496
emergency-stop-streaming,1595583965993,1595583966079,1595583966713,1595583966724
emergency-stop-table,1595583965993,1595583966079,1595583966821,1595583966824
emergency-stop-streaming,1595583966991,1595583967085,1595583967536,1595583967538
emergency-stop-table,1595583966991,1595583967085,1595583967691,1595583967758
emergency-stop-streaming,1595583967976,1595583968137,1595583968533,1595583968538
emergency-stop-table,1595583967976,1595583968137,1595583968623,1595583968627
emergency-stop-streaming,1595583968979,1595583969071,1595583969588,1595583969594
emergency-stop-table,1595583968979,1595583969071,1595583969669,1595583969684
vehicle-count,1595583967975,1595583968137,1595583970147,1595583970160
vehicle-count,1595583964984,1595583965121,1595583970134,1595583970168
vehicle-count,1595583962944,1595583963037,1595583970136,1595583970180
vehicle-count,1595583963948,1595583964121,1595583970150,1595583970182
vehicle-count,1595583957892,1595583958074,1595583970173,1595583970193
vehicle-count,1595583953844,1595583953889,1595583970175,1595583970200
vehicle-count,1595583955875,1595583956050,1595583970176,1595583970200
vehicle-count,1595583961892,1595583962013,1595583970162,1595583970201
vehicle-count,1595583963948,1595583964043,1595583970165,1595583970202
vehicle-count,1595583965993,1595583966079,1595583970161,1595583970214
vehicle-count,1595583953094,1595583953108,1595583970168,1595583970215
vehicle-count,1595583954841,1595583954945,1595583970168,1595583970215
vehicle-count,1595583966991,1595583967085,1595583970233,1595583970239
vehicle-count,1595583956852,1595583956964,1595583970234,1595583970241
vehicle-count,1595583956880,1595583956960,1595583970243,1595583970252
vehicle-count,1595583967975,1595583968138,1595583970247,1595583970258
vehicle-count,1595583961892,1595583961972,1595583970249,1595583970264
vehicle-count,1595583958899,1595583959079,1595583970257,1595583970265
vehicle-count,1595583960925,1595583961003,1595583970252,1595583970274
vehicle-count,1595583955875,1595583956049,1595583970265,1595583970288
vehicle-count,1595583959922,1595583960024,1595583970266,1595583970288
vehicle-count,1595583962944,1595583963038,1595583970267,1595583970288
vehicle-count,1595583967976,1595583968137,1595583970267,1595583970289
vehicle-count,1595583968979,1595583969071,1595583970268,1595583970367
vehicle-count,1595583968979,1595583969094,1595583970262,1595583970367
emergency-stop-streaming,1595583969989,1595583970077,1595583970559,1595583970610
emergency-stop-table,1595583969989,1595583970077,1595583970650,1595583970687
emergency-stop-streaming,1595583971036,1595583971125,1595583971561,1595583971566
emergency-stop-table,1595583971036,1595583971125,1595583971609,1595583971613
delay-statistics,1595583966991,1595583967085,1595583972247,1595583972268
delay-statistics,1595583963948,1595583964111,1595583972249,1595583972268
delay-statistics,1595583961892,1595583962017,1595583972242,1595583972277
delay-statistics,1595583953094,1595583953103,1595583972246,1595583972278
delay-statistics,1595583953844,1595583953880,1595583972246,1595583972278
delay-statistics,1595583965993,1595583966079,1595583972246,1595583972278
delay-statistics,1595583959922,1595583959960,1595583972247,1595583972278
delay-statistics,1595583965001,1595583965109,1595583972275,1595583972284
delay-statistics,1595583962967,1595583963031,1595583972275,1595583972284
delay-statistics,1595583968998,1595583969086,1595583972276,1595583972285
delay-statistics,1595583958920,1595583958999,1595583972246,1595583972288
delay-statistics,1595583960925,1595583961077,1595583972247,1595583972288
delay-statistics,1595583967976,1595583968137,1595583972247,1595583972289
delay-statistics,1595583954841,1595583954945,1595583972276,1595583972291
delay-statistics,1595583956880,1595583957017,1595583972244,1595583972298
delay-statistics,1595583955875,1595583956051,1595583972254,1595583972298
delay-statistics,1595583957924,1595583958073,1595583972254,1595583972298
emergency-stop-table,1595583971999,1595583972104,1595583972468,1595583972472
emergency-stop-streaming,1595583971999,1595583972104,1595583972520,1595583972612
emergency-stop-streaming,1595583973028,1595583973119,1595583973422,1595583973435
emergency-stop-table,1595583973028,1595583973119,1595583973822,1595583973827
emergency-stop-streaming,1595583974039,1595583974162,1595583975400,1595583975404
emergency-stop-table,1595583974039,1595583974162,1595583975505,1595583975519
emergency-stop-table,1595583975020,1595583975213,1595583975617,1595583975679
emergency-stop-streaming,1595583975020,1595583975213,1595583975717,1595583975723
emergency-stop-streaming,1595583976048,1595583976123,1595583976939,1595583976951
emergency-stop-table,1595583976048,1595583976123,1595583976991,1595583976994
emergency-stop-streaming,1595583977038,1595583977093,1595583977635,1595583977641
emergency-stop-table,1595583977038,1595583977093,1595583977856,1595583977878
