job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-streaming,1597401189401,1597401189415,1597401190345,1597401190409
emergency-stop-table,1597401189401,1597401189415,1597401190366,1597401190417
emergency-stop-table,1597401191406,1597401191413,1597401192342,1597401192373
emergency-stop-streaming,1597401191406,1597401191413,1597401192414,1597401192433
delay-statistics,1597401191406,1597401191409,1597401193320,1597401193326
delay-statistics,1597401190403,1597401190405,1597401193332,1597401193352
delay-statistics,1597401189401,1597401189405,1597401193334,1597401193352
emergency-stop-table,1597401192406,1597401192412,1597401193382,1597401193389
vehicle-count,1597401191406,1597401191413,1597401193729,1597401193747
vehicle-count,1597401190403,1597401190410,1597401193769,1597401193799
vehicle-count,1597401189401,1597401189415,1597401193771,1597401193800
vehicle-count,1597401189401,1597401189413,1597401193782,1597401193818
emergency-stop-streaming,1597401193406,1597401193409,1597401194359,1597401194371
emergency-stop-table,1597401193406,1597401193409,1597401194438,1597401194445
emergency-stop-streaming,1597401194408,1597401194416,1597401195372,1597401195374
emergency-stop-table,1597401194408,1597401194416,1597401195382,1597401195387
emergency-stop-streaming,1597401195411,1597401195415,1597401196395,1597401196399
emergency-stop-table,1597401195411,1597401195415,1597401196400,1597401196404
emergency-stop-streaming,1597401196414,1597401196435,1597401197180,1597401197184
emergency-stop-table,1597401196414,1597401196435,1597401197424,1597401197501
emergency-stop-streaming,1597401197416,1597401197425,1597401198196,1597401198200
vehicle-count,1597401192406,1597401192411,1597401198282,1597401198296
vehicle-count,1597401195411,1597401195415,1597401198296,1597401198321
vehicle-count,1597401193406,1597401193409,1597401198296,1597401198321
vehicle-count,1597401194408,1597401194416,1597401198301,1597401198322
vehicle-count,1597401192405,1597401192407,1597401198294,1597401198339
vehicle-count,1597401192406,1597401192412,1597401198294,1597401198339
vehicle-count,1597401196414,1597401196435,1597401198295,1597401198339
emergency-stop-table,1597401197416,1597401197425,1597401198405,1597401198413
delay-statistics,1597401196415,1597401196430,1597401198458,1597401198472
delay-statistics,1597401192407,1597401192412,1597401198462,1597401198473
delay-statistics,1597401193406,1597401193410,1597401198464,1597401198473
delay-statistics,1597401194408,1597401194413,1597401198466,1597401198473
delay-statistics,1597401195411,1597401195415,1597401198485,1597401198493
emergency-stop-streaming,1597401198418,1597401198424,1597401199196,1597401199204
emergency-stop-table,1597401198418,1597401198424,1597401199361,1597401199368
emergency-stop-streaming,1597401199419,1597401199424,1597401200205,1597401200211
emergency-stop-table,1597401199419,1597401199424,1597401200303,1597401200307
emergency-stop-streaming,1597401200419,1597401200425,1597401201202,1597401201210
emergency-stop-table,1597401200419,1597401200425,1597401201277,1597401201286
emergency-stop-streaming,1597401201421,1597401201429,1597401202207,1597401202219
emergency-stop-table,1597401201421,1597401201429,1597401202289,1597401202297
emergency-stop-streaming,1597401202421,1597401202426,1597401203212,1597401203218
delay-statistics,1597401198418,1597401198422,1597401203312,1597401203324
delay-statistics,1597401200419,1597401200423,1597401203314,1597401203324
delay-statistics,1597401199419,1597401199428,1597401203320,1597401203328
delay-statistics,1597401201422,1597401201426,1597401203323,1597401203333
delay-statistics,1597401197416,1597401197420,1597401203327,1597401203334
emergency-stop-table,1597401202421,1597401202426,1597401203336,1597401203358
vehicle-count,1597401197416,1597401197425,1597401203384,1597401203417
vehicle-count,1597401201421,1597401201429,1597401203385,1597401203439
vehicle-count,1597401201420,1597401201426,1597401203385,1597401203439
vehicle-count,1597401201420,1597401201424,1597401203391,1597401203444
vehicle-count,1597401200419,1597401200425,1597401203391,1597401203444
vehicle-count,1597401199419,1597401199424,1597401203391,1597401203444
vehicle-count,1597401198418,1597401198424,1597401203405,1597401203453
emergency-stop-streaming,1597401203421,1597401203456,1597401204209,1597401204224
emergency-stop-table,1597401203421,1597401203456,1597401204339,1597401204369
emergency-stop-table,1597401204423,1597401204525,1597401205403,1597401205405
emergency-stop-streaming,1597401204423,1597401204525,1597401205411,1597401205419
emergency-stop-streaming,1597401205424,1597401205432,1597401206280,1597401206283
emergency-stop-table,1597401205424,1597401205432,1597401206383,1597401206387
emergency-stop-streaming,1597401206424,1597401206429,1597401207470,1597401207473
emergency-stop-table,1597401206424,1597401206429,1597401207514,1597401207576
delay-statistics,1597401204423,1597401204528,1597401208391,1597401208424
delay-statistics,1597401205424,1597401205432,1597401208392,1597401208424
delay-statistics,1597401206424,1597401206427,1597401208393,1597401208424
delay-statistics,1597401202422,1597401202426,1597401208400,1597401208425
delay-statistics,1597401203421,1597401203455,1597401208401,1597401208425
vehicle-count,1597401206424,1597401206429,1597401208466,1597401208494
vehicle-count,1597401202421,1597401202426,1597401208468,1597401208495
vehicle-count,1597401204423,1597401204517,1597401208469,1597401208496
vehicle-count,1597401204423,1597401204525,1597401208483,1597401208529
vehicle-count,1597401205423,1597401205426,1597401208481,1597401208538
vehicle-count,1597401205424,1597401205432,1597401208481,1597401208538
vehicle-count,1597401205424,1597401205432,1597401208481,1597401208538
vehicle-count,1597401203421,1597401203456,1597401208481,1597401208538
emergency-stop-streaming,1597401207425,1597401207447,1597401208514,1597401208543
emergency-stop-table,1597401207425,1597401207447,1597401208549,1597401208553
emergency-stop-streaming,1597401208426,1597401208448,1597401209280,1597401209283
emergency-stop-table,1597401208426,1597401208448,1597401209437,1597401209441
emergency-stop-streaming,1597401209427,1597401209438,1597401210289,1597401210291
emergency-stop-table,1597401209427,1597401209438,1597401210386,1597401210395
emergency-stop-streaming,1597401210429,1597401210433,1597401211482,1597401211492
emergency-stop-table,1597401210429,1597401210433,1597401211552,1597401211557
emergency-stop-streaming,1597401211429,1597401211444,1597401212490,1597401212531
emergency-stop-table,1597401211429,1597401211444,1597401212554,1597401212560
emergency-stop-streaming,1597401212431,1597401212437,1597401213295,1597401213303
emergency-stop-table,1597401212431,1597401212437,1597401213346,1597401213349
delay-statistics,1597401209427,1597401209438,1597401213381,1597401213392
delay-statistics,1597401207425,1597401207443,1597401213390,1597401213402
delay-statistics,1597401208426,1597401208435,1597401213390,1597401213402
delay-statistics,1597401210429,1597401210435,1597401213383,1597401213403
delay-statistics,1597401211430,1597401211436,1597401213383,1597401213403
vehicle-count,1597401211429,1597401211444,1597401213481,1597401213517
vehicle-count,1597401209427,1597401209438,1597401213481,1597401213517
vehicle-count,1597401207425,1597401207447,1597401213601,1597401213612
vehicle-count,1597401210429,1597401210433,1597401213602,1597401213613
vehicle-count,1597401208426,1597401208448,1597401213602,1597401213613
emergency-stop-streaming,1597401213433,1597401213439,1597401214288,1597401214299
emergency-stop-table,1597401213433,1597401213439,1597401214352,1597401214356
emergency-stop-streaming,1597401214435,1597401214440,1597401215291,1597401215303
emergency-stop-table,1597401214435,1597401214440,1597401215373,1597401215382
