job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-detection-streaming,1598356299402,1598356299408,1598356300573,1598356300619
emergency-stop-detection-table,1598356299402,1598356299408,1598356300719,1598356300771
emergency-stop-detection-streaming,1598356301410,1598356301414,1598356302565,1598356302575
emergency-stop-detection-table,1598356301410,1598356301414,1598356302719,1598356302725
vehicle-distribution,1598356299401,1598356299404,1598356303574,1598356303585
vehicle-distribution,1598356299401,1598356299405,1598356303574,1598356303585
emergency-stop-detection-streaming,1598356302413,1598356302417,1598356303582,1598356303588
emergency-stop-detection-table,1598356302413,1598356302417,1598356303620,1598356303627
vehicle-distribution,1598356299402,1598356299408,1598356303608,1598356303641
vehicle-distribution,1598356301410,1598356301414,1598356303613,1598356303642
vehicle-distribution,1598356300405,1598356300412,1598356303614,1598356303642
emergency-stop-detection-streaming,1598356303414,1598356303427,1598356304584,1598356304590
emergency-stop-detection-table,1598356303414,1598356303427,1598356304631,1598356304645
delay-distribution,1598356301410,1598356301417,1598356304863,1598356304870
delay-distribution,1598356300406,1598356300409,1598356304870,1598356304880
delay-distribution,1598356299402,1598356299408,1598356304871,1598356304880
emergency-stop-detection-streaming,1598356304414,1598356304419,1598356305587,1598356305592
emergency-stop-detection-table,1598356304414,1598356304419,1598356305632,1598356305636
emergency-stop-detection-table,1598356305416,1598356305421,1598356306733,1598356306743
emergency-stop-detection-table,1598356306418,1598356306422,1598356307625,1598356307630
vehicle-distribution,1598356302412,1598356302416,1598356308457,1598356308475
vehicle-distribution,1598356306418,1598356306420,1598356308458,1598356308475
vehicle-distribution,1598356304414,1598356304420,1598356308458,1598356308475
vehicle-distribution,1598356304414,1598356304420,1598356308458,1598356308475
vehicle-distribution,1598356304414,1598356304419,1598356308458,1598356308475
vehicle-distribution,1598356303414,1598356303427,1598356308460,1598356308481
vehicle-distribution,1598356302411,1598356302414,1598356308475,1598356308488
vehicle-distribution,1598356302413,1598356302417,1598356308475,1598356308488
vehicle-distribution,1598356306418,1598356306423,1598356308475,1598356308488
vehicle-distribution,1598356306418,1598356306422,1598356308475,1598356308488
vehicle-distribution,1598356305416,1598356305421,1598356308475,1598356308488
vehicle-distribution,1598356305416,1598356305421,1598356308475,1598356308488
vehicle-distribution,1598356305416,1598356305421,1598356308475,1598356308488
emergency-stop-detection-streaming,1598356307420,1598356307424,1598356308590,1598356308593
emergency-stop-detection-table,1598356307420,1598356307424,1598356308626,1598356308631
delay-distribution,1598356305416,1598356305421,1598356309500,1598356309512
delay-distribution,1598356302413,1598356302419,1598356309499,1598356309514
