job,event_timestamp,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-streaming,1591093913426,1595497040112,1595497040140,1595497042811,1595497042816
emergency-stop-streaming,1591093913710,1595497041127,1595497041174,1595497043852,1595497043868
emergency-stop-table,1591093913426,1595497040112,1595497040140,1595497044369,1595497044380
emergency-stop-table,1591093913157,1595497039122,1595497039160,1595497044706,1595497044716
vehicle-count,1591093914382,1595497043156,1595497043183,1595497045612,1595497045622
delay-statistics,1591093914692,1595497044172,1595497044200,1595497045618,1595497045626
delay-statistics,1591093912732,1595497038118,1595497038162,1595497045620,1595497045626
delay-statistics,1591093910155,1595497030048,1595497030057,1595497045610,1595497045627
delay-statistics,1591093913424,1595497040120,1595497040139,1595497045610,1595497045627
delay-statistics,1591093913155,1595497039122,1595497039160,1595497045611,1595497045627
delay-statistics,1591093911407,1595497034075,1595497034119,1595497045612,1595497045627
delay-statistics,1591093911742,1595497035087,1595497035142,1595497045613,1595497045627
delay-statistics,1591093911155,1595497033073,1595497033109,1595497045614,1595497045627
delay-statistics,1591093914155,1595497042148,1595497042198,1595497045628,1595497045637
delay-statistics,1591093912155,1595497036105,1595497036164,1595497045628,1595497045637
delay-statistics,1591093913708,1595497041133,1595497041177,1595497045632,1595497045638
delay-statistics,1591093914380,1595497043156,1595497043207,1595497045635,1595497045642
delay-statistics,1591093910716,1595497032076,1595497032178,1595497045637,1595497045642
delay-statistics,1591093910368,1595497031059,1595497031111,1595497045637,1595497045642
delay-statistics,1591093912368,1595497037091,1595497037122,1595497045638,1595497045642
vehicle-count,1591093912156,1595497036105,1595497036165,1595497045617,1595497045651
vehicle-count,1591093910718,1595497032063,1595497032175,1595497045617,1595497045651
vehicle-count,1591093910157,1595497030040,1595497030055,1595497045618,1595497045652
vehicle-count,1591093913426,1595497040112,1595497040140,1595497045619,1595497045652
vehicle-count,1591093914693,1595497044152,1595497044249,1595497045641,1595497045665
vehicle-count,1591093912734,1595497038110,1595497038130,1595497045643,1595497045666
vehicle-count,1591093911157,1595497033067,1595497033107,1595497045649,1595497045667
vehicle-count,1591093914381,1595497043147,1595497043201,1595497045650,1595497045668
vehicle-count,1591093911408,1595497034070,1595497034143,1595497045620,1595497045679
vehicle-count,1591093911409,1595497034070,1595497034117,1595497045636,1595497045679
vehicle-count,1591093914694,1595497044152,1595497044198,1595497045636,1595497045680
vehicle-count,1591093914155,1595497042129,1595497042194,1595497045636,1595497045680
vehicle-count,1591093913157,1595497039122,1595497039160,1595497045643,1595497045682
vehicle-count,1591093912157,1595497036105,1595497036161,1595497045645,1595497045683
vehicle-count,1591093912370,1595497037091,1595497037125,1595497045645,1595497045684
vehicle-count,1591093914156,1595497042129,1595497042170,1595497045696,1595497045702
vehicle-count,1591093911744,1595497035087,1595497035142,1595497045697,1595497045702
vehicle-count,1591093910370,1595497031059,1595497031115,1595497045702,1595497045720
vehicle-count,1591093913710,1595497041127,1595497041174,1595497045709,1595497045734
vehicle-count,1591093911156,1595497033067,1595497033136,1595497045711,1595497045735
vehicle-count,1591093911743,1595497035073,1595497035142,1595497045718,1595497045737
