job,event_timestamp,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-streaming,1591093907157,1595426762482,1595426762486,1595426763780,1595426763867
emergency-stop-table,1591093907157,1595426762482,1595426762486,1595426763919,1595426763966
emergency-stop-streaming,1591093908157,1595426763486,1595426763490,1595426764763,1595426764800
emergency-stop-table,1591093908157,1595426763486,1595426763490,1595426764919,1595426764999
emergency-stop-table,1591093909157,1595426764490,1595426764501,1595426765699,1595426765717
emergency-stop-streaming,1591093909157,1595426764490,1595426764501,1595426765752,1595426765783
emergency-stop-table,1591093910157,1595426765493,1595426765496,1595426766724,1595426766741
delay-statistics,1591093909155,1595426764491,1595426764501,1595426766725,1595426766745
delay-statistics,1591093907155,1595426762482,1595426762490,1595426766727,1595426766748
delay-statistics,1591093908155,1595426763486,1595426763494,1595426766728,1595426766748
vehicle-count,1591093909155,1595426764490,1595426764503,1595426766725,1595426766765
vehicle-count,1591093909156,1595426764490,1595426764501,1595426766729,1595426766765
vehicle-count,1591093908157,1595426763486,1595426763490,1595426766781,1595426766793
vehicle-count,1591093907157,1595426762482,1595426762486,1595426766782,1595426766793
vehicle-count,1591093909157,1595426764490,1595426764501,1595426766782,1595426766794
emergency-stop-streaming,1591093910157,1595426765493,1595426765496,1595426766770,1595426766815
emergency-stop-table,1591093911157,1595426766495,1595426766501,1595426767741,1595426767745
emergency-stop-streaming,1591093911157,1595426766495,1595426766501,1595426767769,1595426767786
emergency-stop-table,1591093912157,1595426767499,1595426767507,1595426768710,1595426768716
emergency-stop-streaming,1591093912157,1595426767499,1595426767507,1595426768845,1595426768867
emergency-stop-table,1591093913157,1595426768502,1595426768507,1595426769716,1595426769721
emergency-stop-streaming,1591093913157,1595426768502,1595426768507,1595426769788,1595426769799
emergency-stop-table,1591093914157,1595426769504,1595426769508,1595426770702,1595426770709
emergency-stop-streaming,1591093914157,1595426769504,1595426769508,1595426770846,1595426770861
vehicle-count,1591093913157,1595426768502,1595426768507,1595426771602,1595426771624
vehicle-count,1591093914156,1595426769504,1595426769519,1595426771605,1595426771625
vehicle-count,1591093910157,1595426765493,1595426765496,1595426771611,1595426771625
vehicle-count,1591093911157,1595426766495,1595426766501,1595426771618,1595426771631
vehicle-count,1591093914157,1595426769504,1595426769508,1595426771621,1595426771632
vehicle-count,1591093912157,1595426767499,1595426767507,1595426771631,1595426771642
emergency-stop-streaming,1591093915157,1595426770506,1595426770511,1595426771670,1595426771691
delay-statistics,1591093910155,1595426765493,1595426765498,1595426771698,1595426771711
delay-statistics,1591093911155,1595426766496,1595426766503,1595426771702,1595426771711
delay-statistics,1591093912155,1595426767499,1595426767507,1595426771702,1595426771711
delay-statistics,1591093914155,1595426769504,1595426769517,1595426771705,1595426771711
delay-statistics,1591093913155,1595426768502,1595426768505,1595426771697,1595426771726
emergency-stop-table,1591093915157,1595426770506,1595426770511,1595426771818,1595426771832
emergency-stop-streaming,1591093916157,1595426771509,1595426771512,1595426772725,1595426772728
emergency-stop-table,1591093916157,1595426771509,1595426771512,1595426772716,1595426772730
emergency-stop-streaming,1591093917157,1595426772511,1595426772520,1595426773744,1595426773751
emergency-stop-table,1591093917157,1595426772511,1595426772520,1595426773785,1595426773787
emergency-stop-streaming,1591093918157,1595426773513,1595426773520,1595426774714,1595426774719
emergency-stop-table,1591093918157,1595426773513,1595426773520,1595426774925,1595426774934
emergency-stop-streaming,1591093919157,1595426774517,1595426774524,1595426775714,1595426775732
emergency-stop-table,1591093919157,1595426774517,1595426774524,1595426775869,1595426775873
vehicle-count,1591093919157,1595426774517,1595426774524,1595426776718,1595426776726
vehicle-count,1591093918156,1595426773513,1595426773522,1595426776718,1595426776729
vehicle-count,1591093917157,1595426772511,1595426772520,1595426776718,1595426776729
vehicle-count,1591093918157,1595426773513,1595426773520,1595426776723,1595426776730
vehicle-count,1591093919156,1595426774517,1595426774524,1595426776732,1595426776743
vehicle-count,1591093915157,1595426770506,1595426770511,1595426776732,1595426776743
vehicle-count,1591093916157,1595426771509,1595426771512,1595426776750,1595426776756
vehicle-count,1591093919155,1595426774517,1595426774525,1595426776751,1595426776756
emergency-stop-streaming,1591093920157,1595426775518,1595426775526,1595426776768,1595426776781
emergency-stop-table,1591093920157,1595426775518,1595426775526,1595426776850,1595426776866
delay-statistics,1591093915155,1595426770506,1595426770515,1595426777303,1595426777313
delay-statistics,1591093919155,1595426774517,1595426774524,1595426777304,1595426777313
delay-statistics,1591093917155,1595426772511,1595426772518,1595426777307,1595426777313
delay-statistics,1591093916155,1595426771509,1595426771517,1595426777303,1595426777327
delay-statistics,1591093918155,1595426773513,1595426773522,1595426777311,1595426777327
emergency-stop-streaming,1591093921157,1595426776522,1595426776528,1595426777732,1595426777743
emergency-stop-table,1591093921157,1595426776522,1595426776528,1595426777848,1595426777851
emergency-stop-table,1591093922157,1595426777523,1595426777530,1595426778679,1595426778682
emergency-stop-streaming,1591093922157,1595426777523,1595426777530,1595426778841,1595426778844
emergency-stop-table,1591093923157,1595426778524,1595426778689,1595426779698,1595426779711
emergency-stop-streaming,1591093923157,1595426778524,1595426778689,1595426779833,1595426779846
emergency-stop-table,1591093924157,1595426779528,1595426779534,1595426780684,1595426780692
emergency-stop-streaming,1591093924157,1595426779528,1595426779534,1595426780926,1595426780930
delay-statistics,1591093924155,1595426779528,1595426779535,1595426781711,1595426781716
delay-statistics,1591093923155,1595426778525,1595426778530,1595426781713,1595426781722
delay-statistics,1591093922155,1595426777523,1595426777527,1595426781715,1595426781723
delay-statistics,1591093920155,1595426775519,1595426775525,1595426781718,1595426781727
delay-statistics,1591093921155,1595426776522,1595426776528,1595426781728,1595426781732
emergency-stop-table,1591093925171,1595426780531,1595426780537,1595426781728,1595426781744
vehicle-count,1591093921157,1595426776522,1595426776528,1595426781730,1595426781805
vehicle-count,1591093923157,1595426778524,1595426778689,1595426781734,1595426781811
vehicle-count,1591093924157,1595426779528,1595426779534,1595426781743,1595426781812
vehicle-count,1591093920157,1595426775518,1595426775526,1595426781748,1595426781813
vehicle-count,1591093922156,1595426777523,1595426777528,1595426781748,1595426781813
vehicle-count,1591093922157,1595426777523,1595426777530,1595426781739,1595426781817
vehicle-count,1591093924155,1595426779528,1595426779534,1595426781750,1595426781818
vehicle-count,1591093924156,1595426779528,1595426779534,1595426781751,1595426781819
emergency-stop-streaming,1591093925171,1595426780531,1595426780537,1595426781833,1595426781840
emergency-stop-table,1591093926157,1595426781533,1595426781536,1595426782730,1595426782734
emergency-stop-streaming,1591093926157,1595426781533,1595426781536,1595426782799,1595426782813
emergency-stop-table,1591093927171,1595426782537,1595426782544,1595426783776,1595426783784
emergency-stop-streaming,1591093927171,1595426782537,1595426782544,1595426783865,1595426783876
emergency-stop-streaming,1591093928171,1595426783538,1595426783541,1595426784781,1595426784789
emergency-stop-table,1591093928171,1595426783538,1595426783541,1595426784889,1595426784902
emergency-stop-streaming,1591093929171,1595426784540,1595426784544,1595426785671,1595426785684
emergency-stop-table,1591093929171,1595426784540,1595426784544,1595426785819,1595426785822
