job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-table,1597348222740,1597348222748,1597348223697,1597348223742
emergency-stop-streaming,1597348222740,1597348222748,1597348223690,1597348223742
emergency-stop-table,1597348224745,1597348224749,1597348225624,1597348225638
emergency-stop-streaming,1597348224745,1597348224749,1597348225693,1597348225700
delay-statistics,1597348224745,1597348224749,1597348226792,1597348226803
delay-statistics,1597348222740,1597348222748,1597348226796,1597348226808
delay-statistics,1597348223743,1597348223747,1597348226796,1597348226808
vehicle-count,1597348222740,1597348222748,1597348226882,1597348226898
vehicle-count,1597348224745,1597348224749,1597348226934,1597348226952
vehicle-count,1597348223743,1597348223747,1597348226924,1597348226969
emergency-stop-table,1597348226754,1597348226760,1597348227622,1597348227636
emergency-stop-streaming,1597348226754,1597348226760,1597348227698,1597348228193
emergency-stop-streaming,1597348228757,1597348228764,1597348229705,1597348229714
emergency-stop-table,1597348229758,1597348229763,1597348230592,1597348230597
emergency-stop-streaming,1597348229758,1597348229763,1597348230701,1597348230706
emergency-stop-table,1597348230761,1597348230767,1597348231628,1597348231633
emergency-stop-streaming,1597348230761,1597348230767,1597348231693,1597348231700
delay-statistics,1597348227754,1597348228192,1597348231822,1597348231851
delay-statistics,1597348228757,1597348228761,1597348231825,1597348231852
delay-statistics,1597348229758,1597348229763,1597348231828,1597348231857
delay-statistics,1597348225747,1597348225752,1597348231830,1597348231858
delay-statistics,1597348226754,1597348226759,1597348231831,1597348231858
vehicle-count,1597348225747,1597348225753,1597348231910,1597348231919
vehicle-count,1597348228756,1597348228761,1597348231910,1597348231919
vehicle-count,1597348228757,1597348228764,1597348231910,1597348231920
vehicle-count,1597348228756,1597348228764,1597348231910,1597348231920
vehicle-count,1597348226754,1597348226760,1597348231910,1597348231920
vehicle-count,1597348226753,1597348226760,1597348231910,1597348231920
vehicle-count,1597348229758,1597348229763,1597348231911,1597348231920
vehicle-count,1597348225747,1597348225753,1597348231910,1597348231939
vehicle-count,1597348225747,1597348225754,1597348231902,1597348231940
vehicle-count,1597348227754,1597348228153,1597348231902,1597348231941
vehicle-count,1597348226752,1597348226757,1597348231902,1597348231941
emergency-stop-streaming,1597348231764,1597348231769,1597348232501,1597348232507
emergency-stop-table,1597348231764,1597348231769,1597348232602,1597348232604
emergency-stop-streaming,1597348232766,1597348232772,1597348233501,1597348233509
emergency-stop-table,1597348232766,1597348232772,1597348233609,1597348233612
emergency-stop-streaming,1597348233766,1597348233773,1597348234503,1597348234511
emergency-stop-table,1597348233766,1597348233773,1597348234604,1597348234614
emergency-stop-streaming,1597348234767,1597348234773,1597348235504,1597348235510
emergency-stop-table,1597348234767,1597348234773,1597348235630,1597348235635
delay-statistics,1597348230761,1597348230766,1597348236622,1597348236626
delay-statistics,1597348232766,1597348232772,1597348236625,1597348236634
delay-statistics,1597348234767,1597348234773,1597348236628,1597348236634
delay-statistics,1597348231764,1597348231771,1597348236628,1597348236640
delay-statistics,1597348233766,1597348233773,1597348236630,1597348236641
vehicle-count,1597348230761,1597348230767,1597348236657,1597348236677
vehicle-count,1597348233765,1597348233772,1597348236657,1597348236678
vehicle-count,1597348232765,1597348232770,1597348236657,1597348236678
vehicle-count,1597348234767,1597348234773,1597348236658,1597348236682
vehicle-count,1597348233766,1597348233773,1597348236656,1597348236697
vehicle-count,1597348233766,1597348233773,1597348236656,1597348236697
vehicle-count,1597348232766,1597348232772,1597348236656,1597348236697
vehicle-count,1597348231764,1597348231769,1597348236656,1597348236697
emergency-stop-table,1597348235769,1597348235775,1597348236813,1597348236818
emergency-stop-streaming,1597348235769,1597348235775,1597348236917,1597348236922
emergency-stop-table,1597348236773,1597348236779,1597348237630,1597348238075
emergency-stop-streaming,1597348236773,1597348236779,1597348237597,1597348238104
emergency-stop-streaming,1597348237774,1597348238094,1597348238796,1597348238803
emergency-stop-table,1597348237774,1597348238094,1597348238815,1597348238819
emergency-stop-streaming,1597348238775,1597348238780,1597348239805,1597348239813
emergency-stop-table,1597348238775,1597348238780,1597348239831,1597348239834
emergency-stop-table,1597348239777,1597348239796,1597348240834,1597348240839
emergency-stop-streaming,1597348239777,1597348239796,1597348241007,1597348241260
vehicle-count,1597348236773,1597348236779,1597348241662,1597348241683
vehicle-count,1597348238775,1597348238780,1597348241664,1597348241706
vehicle-count,1597348237774,1597348238094,1597348241664,1597348241707
vehicle-count,1597348235769,1597348235775,1597348241662,1597348241714
vehicle-count,1597348239777,1597348239796,1597348241664,1597348241714
emergency-stop-streaming,1597348240778,1597348240782,1597348241806,1597348241813
delay-statistics,1597348239777,1597348239796,1597348241826,1597348241829
delay-statistics,1597348238776,1597348238782,1597348241825,1597348241831
delay-statistics,1597348236773,1597348236776,1597348241825,1597348241834
delay-statistics,1597348235770,1597348235779,1597348241835,1597348241845
delay-statistics,1597348237774,1597348238086,1597348241835,1597348241846
emergency-stop-table,1597348240778,1597348240782,1597348241935,1597348241938
emergency-stop-streaming,1597348241785,1597348241790,1597348242611,1597348242617
emergency-stop-table,1597348241785,1597348241790,1597348242736,1597348242743
emergency-stop-streaming,1597348242786,1597348242811,1597348243809,1597348243814
emergency-stop-table,1597348242786,1597348242811,1597348243818,1597348243822
emergency-stop-streaming,1597348243786,1597348243789,1597348244811,1597348244824
emergency-stop-table,1597348243786,1597348243789,1597348244859,1597348244863
emergency-stop-streaming,1597348244788,1597348244793,1597348245812,1597348245818
emergency-stop-table,1597348244788,1597348244793,1597348245863,1597348245872
vehicle-count,1597348241785,1597348241790,1597348246762,1597348246777
vehicle-count,1597348240778,1597348240782,1597348246761,1597348246783
vehicle-count,1597348244788,1597348244793,1597348246761,1597348246783
vehicle-count,1597348243786,1597348243789,1597348246762,1597348246784
vehicle-count,1597348242786,1597348242811,1597348246762,1597348246784
vehicle-count,1597348244788,1597348244792,1597348246775,1597348246797
delay-statistics,1597348243786,1597348243791,1597348246832,1597348246850
delay-statistics,1597348244790,1597348244793,1597348246832,1597348246850
delay-statistics,1597348240778,1597348240784,1597348246831,1597348246862
delay-statistics,1597348241785,1597348241790,1597348246831,1597348246862
delay-statistics,1597348242788,1597348242807,1597348246832,1597348246862
emergency-stop-streaming,1597348246795,1597348246813,1597348247813,1597348247819
emergency-stop-table,1597348246795,1597348246813,1597348247965,1597348247970
emergency-stop-streaming,1597348247796,1597348247819,1597348248812,1597348248819
emergency-stop-table,1597348247796,1597348247819,1597348248961,1597348248964
emergency-stop-streaming,1597348248798,1597348248805,1597348249814,1597348249826
emergency-stop-table,1597348248798,1597348248805,1597348249960,1597348249964
emergency-stop-streaming,1597348249800,1597348249821,1597348250807,1597348250814
emergency-stop-table,1597348249800,1597348249821,1597348250968,1597348250974
vehicle-count,1597348245794,1597348245798,1597348251676,1597348251696
vehicle-count,1597348245793,1597348245798,1597348251676,1597348251697
vehicle-count,1597348249800,1597348249821,1597348251677,1597348251698
vehicle-count,1597348246795,1597348246813,1597348251677,1597348251698
vehicle-count,1597348245793,1597348245799,1597348251676,1597348251700
vehicle-count,1597348248798,1597348248805,1597348251676,1597348251712
vehicle-count,1597348247796,1597348247819,1597348251676,1597348251712
delay-statistics,1597348246796,1597348246813,1597348251738,1597348251747
delay-statistics,1597348247796,1597348247821,1597348251738,1597348251747
delay-statistics,1597348248798,1597348248806,1597348251738,1597348251747
delay-statistics,1597348249800,1597348249822,1597348251739,1597348251747
delay-statistics,1597348245794,1597348245799,1597348251735,1597348251754
emergency-stop-streaming,1597348250803,1597348250810,1597348251816,1597348251827
emergency-stop-table,1597348250803,1597348250810,1597348251968,1597348251971
emergency-stop-streaming,1597348251806,1597348251833,1597348252809,1597348252889
emergency-stop-table,1597348251806,1597348251833,1597348252969,1597348252973
emergency-stop-streaming,1597348252807,1597348252921,1597348253817,1597348253823
emergency-stop-table,1597348252807,1597348252921,1597348254062,1597348254067
emergency-stop-streaming,1597348253810,1597348253815,1597348254818,1597348254824
emergency-stop-table,1597348253810,1597348253815,1597348255063,1597348255065
emergency-stop-streaming,1597348254810,1597348254817,1597348255819,1597348255824
emergency-stop-table,1597348254810,1597348254817,1597348255973,1597348255981
vehicle-count,1597348253810,1597348253815,1597348256719,1597348256742
vehicle-count,1597348251806,1597348251833,1597348256719,1597348256742
vehicle-count,1597348254810,1597348254817,1597348256721,1597348256756
vehicle-count,1597348252807,1597348252921,1597348256721,1597348256756
vehicle-count,1597348250803,1597348250810,1597348256720,1597348256761
delay-statistics,1597348253810,1597348253815,1597348256741,1597348256769
delay-statistics,1597348254811,1597348254815,1597348256742,1597348256770
delay-statistics,1597348250803,1597348250810,1597348256741,1597348256791
delay-statistics,1597348251806,1597348251831,1597348256741,1597348256791
