job,event_timestamp,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-streaming,1591093907157,1595429052738,1595429052747,1595429053085,1595429053158
emergency-stop-table,1591093907157,1595429052738,1595429052747,1595429053285,1595429053353
emergency-stop-streaming,1591093908157,1595429053743,1595429053748,1595429054097,1595429054135
emergency-stop-table,1591093908157,1595429053743,1595429053748,1595429054176,1595429054188
emergency-stop-streaming,1591093909157,1595429054746,1595429054765,1595429055099,1595429055114
emergency-stop-table,1591093909157,1595429054746,1595429054765,1595429055176,1595429055185
emergency-stop-table,1591093910157,1595429055752,1595429055756,1595429056040,1595429056058
vehicle-count,1591093907157,1595429052738,1595429052747,1595429056142,1595429056159
vehicle-count,1591093909157,1595429054746,1595429054765,1595429056142,1595429056159
vehicle-count,1591093908157,1595429053743,1595429053748,1595429056144,1595429056160
emergency-stop-streaming,1591093910157,1595429055752,1595429055756,1595429056168,1595429056188
emergency-stop-table,1591093911157,1595429056759,1595429056769,1595429057051,1595429057060
delay-statistics,1591093909155,1595429054746,1595429054760,1595429057056,1595429057065
delay-statistics,1591093907155,1595429052744,1595429052749,1595429057066,1595429057088
delay-statistics,1591093908155,1595429053743,1595429053752,1595429057066,1595429057088
emergency-stop-streaming,1591093911157,1595429056759,1595429056769,1595429057169,1595429057172
emergency-stop-table,1591093912157,1595429057763,1595429057789,1595429058110,1595429058117
emergency-stop-streaming,1591093912157,1595429057763,1595429057789,1595429058181,1595429058196
emergency-stop-streaming,1591093913157,1595429058764,1595429058770,1595429059095,1595429059100
emergency-stop-table,1591093913157,1595429058764,1595429058770,1595429059128,1595429059130
emergency-stop-table,1591093914171,1595429059768,1595429059774,1595429060182,1595429060191
emergency-stop-streaming,1591093914171,1595429059768,1595429059774,1595429060211,1595429060219
vehicle-count,1591093912156,1595429057763,1595429057797,1595429061026,1595429061038
vehicle-count,1591093910157,1595429055752,1595429055756,1595429060996,1595429061039
vehicle-count,1591093913157,1595429058764,1595429058770,1595429061000,1595429061039
vehicle-count,1591093912157,1595429057763,1595429057789,1595429061024,1595429061046
vehicle-count,1591093911156,1595429056759,1595429056775,1595429061030,1595429061047
vehicle-count,1591093911157,1595429056759,1595429056769,1595429061034,1595429061048
vehicle-count,1591093914171,1595429059768,1595429059774,1595429061035,1595429061048
emergency-stop-streaming,1591093915157,1595429060772,1595429060781,1595429061198,1595429061207
emergency-stop-table,1591093915157,1595429060772,1595429060781,1595429061236,1595429061251
delay-statistics,1591093913155,1595429058764,1595429058770,1595429061796,1595429061805
delay-statistics,1591093910155,1595429055752,1595429055764,1595429061796,1595429061806
delay-statistics,1591093911155,1595429056759,1595429056772,1595429061798,1595429061807
delay-statistics,1591093912155,1595429057763,1595429057797,1595429061798,1595429061807
delay-statistics,1591093914169,1595429059768,1595429059773,1595429061805,1595429061814
emergency-stop-table,1591093916176,1595429061773,1595429061780,1595429062197,1595429062213
emergency-stop-streaming,1591093916176,1595429061773,1595429061780,1595429062223,1595429062227
emergency-stop-table,1591093917171,1595429062776,1595429062789,1595429063204,1595429063217
emergency-stop-streaming,1591093917171,1595429062776,1595429062789,1595429063237,1595429063244
emergency-stop-streaming,1591093918177,1595429063781,1595429063786,1595429064213,1595429064215
emergency-stop-table,1591093918177,1595429063781,1595429063786,1595429064216,1595429064219
emergency-stop-streaming,1591093919157,1595429064783,1595429064792,1595429065126,1595429065150
emergency-stop-table,1591093919157,1595429064783,1595429064792,1595429065125,1595429065150
vehicle-count,1591093917171,1595429062776,1595429062789,1595429065998,1595429066019
vehicle-count,1591093918177,1595429063781,1595429063786,1595429066000,1595429066024
vehicle-count,1591093916176,1595429061773,1595429061780,1595429066019,1595429066027
vehicle-count,1591093919157,1595429064783,1595429064792,1595429066025,1595429066038
vehicle-count,1591093915157,1595429060772,1595429060781,1595429066029,1595429066043
vehicle-count,1591093916175,1595429061773,1595429061779,1595429066031,1595429066043
emergency-stop-table,1591093920171,1595429065785,1595429065800,1595429066155,1595429066164
delay-statistics,1591093919155,1595429064784,1595429064790,1595429066202,1595429066206
delay-statistics,1591093915155,1595429060772,1595429060784,1595429066202,1595429066206
delay-statistics,1591093916174,1595429061773,1595429061778,1595429066205,1595429066234
delay-statistics,1591093918175,1595429063781,1595429063793,1595429066211,1595429066235
delay-statistics,1591093917169,1595429062776,1595429062791,1595429066205,1595429066235
emergency-stop-streaming,1591093920171,1595429065785,1595429065800,1595429066314,1595429066319
emergency-stop-streaming,1591093921173,1595429066788,1595429066798,1595429067119,1595429067130
emergency-stop-table,1591093921173,1595429066788,1595429066798,1595429067228,1595429067243
emergency-stop-streaming,1591093922189,1595429067794,1595429067799,1595429068111,1595429068118
emergency-stop-table,1591093922189,1595429067794,1595429067799,1595429068343,1595429068526
emergency-stop-streaming,1591093923189,1595429068801,1595429068811,1595429069203,1595429069217
emergency-stop-table,1591093923189,1595429068801,1595429068811,1595429069460,1595429069468
emergency-stop-streaming,1591093924196,1595429069812,1595429069820,1595429070254,1595429070264
emergency-stop-table,1591093924196,1595429069812,1595429069820,1595429070518,1595429070529
vehicle-count,1591093923189,1595429068801,1595429068811,1595429071131,1595429071152
vehicle-count,1591093921172,1595429066788,1595429066801,1595429071131,1595429071152
vehicle-count,1591093922189,1595429067794,1595429067799,1595429071132,1595429071152
vehicle-count,1591093924196,1595429069812,1595429069820,1595429071131,1595429071154
vehicle-count,1591093920171,1595429065785,1595429065800,1595429071132,1595429071154
vehicle-count,1591093921173,1595429066788,1595429066798,1595429071134,1595429071157
vehicle-count,1591093922188,1595429067794,1595429067802,1595429071140,1595429071159
delay-statistics,1591093924194,1595429069812,1595429069819,1595429071439,1595429071448
