job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-streaming,1597764879019,1597764879079,1597764881770,1597764881850
delay-statistics,1597764879019,1597764879095,1597764883092,1597764883110
delay-statistics,1597764880022,1597764880047,1597764883093,1597764883110
delay-statistics,1597764881023,1597764881046,1597764883075,1597764883115
vehicle-count,1597764880022,1597764880049,1597764884175,1597764884230
vehicle-count,1597764879019,1597764879079,1597764884213,1597764884243
vehicle-count,1597764881023,1597764881045,1597764884213,1597764884243
delay-statistics,1597764885030,1597764885043,1597764888059,1597764888085
delay-statistics,1597764882026,1597764882051,1597764888080,1597764888111
delay-statistics,1597764883027,1597764883043,1597764888081,1597764888112
delay-statistics,1597764884028,1597764884050,1597764888095,1597764888112
delay-statistics,1597764886034,1597764886044,1597764888114,1597764888147
vehicle-count,1597764885030,1597764885044,1597764889207,1597764889225
vehicle-count,1597764884028,1597764884053,1597764889253,1597764889296
vehicle-count,1597764882026,1597764882054,1597764889285,1597764889317
vehicle-count,1597764885030,1597764885044,1597764889287,1597764889318
vehicle-count,1597764885030,1597764885040,1597764889291,1597764889319
vehicle-count,1597764886033,1597764886048,1597764889313,1597764889348
vehicle-count,1597764883027,1597764883043,1597764889309,1597764889369
emergency-stop-table,1597764881023,1597764881045,1597764890468,1597764890503
delay-statistics,1597764891042,1597764891050,1597764893070,1597764893087
delay-statistics,1597764887035,1597764887041,1597764893074,1597764893088
delay-statistics,1597764888035,1597764888076,1597764893076,1597764893092
delay-statistics,1597764890037,1597764890047,1597764893096,1597764893117
delay-statistics,1597764889037,1597764889052,1597764893097,1597764893125
emergency-stop-streaming,1597764882026,1597764882054,1597764894483,1597764894509
vehicle-count,1597764890037,1597764890043,1597764894599,1597764894621
vehicle-count,1597764889037,1597764889053,1597764894583,1597764894641
vehicle-count,1597764887034,1597764887042,1597764894621,1597764894684
vehicle-count,1597764890037,1597764890043,1597764894610,1597764894686
vehicle-count,1597764888034,1597764888073,1597764894626,1597764894689
vehicle-count,1597764891041,1597764891049,1597764894638,1597764894713
vehicle-count,1597764890036,1597764890046,1597764894635,1597764894731
delay-statistics,1597764894042,1597764894050,1597764897876,1597764897895
delay-statistics,1597764896044,1597764896059,1597764897894,1597764897911
delay-statistics,1597764895044,1597764895075,1597764897901,1597764897918
delay-statistics,1597764892042,1597764892059,1597764897928,1597764897963
delay-statistics,1597764893040,1597764893052,1597764897932,1597764897965
emergency-stop-table,1597764882026,1597764882054,1597764899444,1597764899459
vehicle-count,1597764893040,1597764893053,1597764899621,1597764899653
vehicle-count,1597764892040,1597764892063,1597764899630,1597764899659
vehicle-count,1597764896044,1597764896061,1597764899629,1597764899670
vehicle-count,1597764892039,1597764892048,1597764899671,1597764899727
vehicle-count,1597764894042,1597764894054,1597764899671,1597764899728
vehicle-count,1597764894042,1597764894050,1597764899719,1597764899768
vehicle-count,1597764894042,1597764894054,1597764899715,1597764899785
vehicle-count,1597764895044,1597764895076,1597764899717,1597764899787
emergency-stop-streaming,1597764883027,1597764883043,1597764902822,1597764902844
delay-statistics,1597764899050,1597764899057,1597764902985,1597764903026
delay-statistics,1597764898047,1597764898058,1597764902980,1597764903038
delay-statistics,1597764900050,1597764900058,1597764902985,1597764903051
delay-statistics,1597764901051,1597764901070,1597764902988,1597764903052
delay-statistics,1597764897047,1597764897075,1597764903038,1597764903077
vehicle-count,1597764901051,1597764901070,1597764905282,1597764905295
vehicle-count,1597764898047,1597764898058,1597764905292,1597764905325
vehicle-count,1597764900050,1597764900062,1597764905324,1597764905355
vehicle-count,1597764899049,1597764899057,1597764905320,1597764905368
vehicle-count,1597764897047,1597764897076,1597764905326,1597764905372
emergency-stop-table,1597764883027,1597764883043,1597764906595,1597764906615
delay-statistics,1597764905054,1597764905070,1597764907997,1597764908029
delay-statistics,1597764902052,1597764902074,1597764908034,1597764908070
