job,event_timestamp,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-table,1591093906305,1595434303639,1595434303967,1595434304405,1595434304435
emergency-stop-streaming,1591093906305,1595434303639,1595434303967,1595434304437,1595434304539
emergency-stop-table,1591093906543,1595434304640,1595434304666,1595434305009,1595434305017
emergency-stop-streaming,1591093906543,1595434304640,1595434304666,1595434305023,1595434305034
emergency-stop-table,1591093906838,1595434305690,1595434305733,1595434306015,1595434306025
emergency-stop-streaming,1591093906838,1595434305690,1595434305733,1595434306075,1595434306099
emergency-stop-streaming,1591093907157,1595434306698,1595434306719,1595434307021,1595434307030
emergency-stop-table,1591093907157,1595434306698,1595434306719,1595434307210,1595434307245
emergency-stop-streaming,1591093907520,1595434307688,1595434307736,1595434308284,1595434308295
emergency-stop-table,1591093907520,1595434307688,1595434307736,1595434308313,1595434308340
emergency-stop-table,1591093907838,1595434308694,1595434308744,1595434309047,1595434309064
emergency-stop-streaming,1591093907838,1595434308694,1595434308744,1595434309083,1595434309108
emergency-stop-streaming,1591093908157,1595434309705,1595434309723,1595434310094,1595434310111
emergency-stop-table,1591093908157,1595434309705,1595434309723,1595434310169,1595434310173
emergency-stop-table,1591093908561,1595434310716,1595434310743,1595434311290,1595434311293
emergency-stop-streaming,1591093908561,1595434310716,1595434310743,1595434311374,1595434311383
emergency-stop-table,1591093908862,1595434311750,1595434311778,1595434312183,1595434312187
emergency-stop-streaming,1591093908862,1595434311750,1595434311778,1595434312354,1595434312356
emergency-stop-table,1591093909157,1595434312738,1595434312796,1595434313120,1595434313125
emergency-stop-streaming,1591093909157,1595434312738,1595434312796,1595434313271,1595434313285
emergency-stop-table,1591093909527,1595434313741,1595434313844,1595434314308,1595434314314
emergency-stop-streaming,1591093909527,1595434313741,1595434313844,1595434314335,1595434314357
emergency-stop-streaming,1591093909862,1595434314750,1595434314775,1595434315311,1595434315321
emergency-stop-table,1591093909862,1595434314750,1595434314775,1595434315532,1595434315545
vehicle-count,1591093908157,1595434309705,1595434309723,1595434316050,1595434316084
vehicle-count,1591093906304,1595434303638,1595434304028,1595434316053,1595434316084
vehicle-count,1591093907157,1595434306698,1595434306719,1595434316053,1595434316084
vehicle-count,1591093909527,1595434313741,1595434313844,1595434316096,1595434316113
vehicle-count,1591093908861,1595434311750,1595434311776,1595434316100,1595434316141
vehicle-count,1591093909862,1595434314750,1595434314775,1595434316148,1595434316169
vehicle-count,1591093909861,1595434314740,1595434314773,1595434316214,1595434316220
emergency-stop-streaming,1591093910157,1595434315754,1595434315773,1595434316218,1595434316229
vehicle-count,1591093907838,1595434308694,1595434308744,1595434316261,1595434316278
vehicle-count,1591093907520,1595434307688,1595434307736,1595434316285,1595434316319
vehicle-count,1591093907519,1595434307688,1595434307713,1595434316266,1595434316325
vehicle-count,1591093908862,1595434311750,1595434311778,1595434316322,1595434316331
vehicle-count,1591093908561,1595434310716,1595434310743,1595434316311,1595434316331
vehicle-count,1591093909157,1595434312738,1595434312796,1595434316322,1595434316337
vehicle-count,1591093906543,1595434304640,1595434304666,1595434316325,1595434316338
vehicle-count,1591093906305,1595434303639,1595434303967,1595434316333,1595434316340
vehicle-count,1591093906838,1595434305690,1595434305733,1595434316334,1595434316340
emergency-stop-table,1591093910157,1595434315754,1595434315773,1595434316547,1595434316614
delay-statistics,1591093906303,1595434303639,1595434304028,1595434317052,1595434317107
delay-statistics,1591093908155,1595434309709,1595434309768,1595434317093,1595434317118
delay-statistics,1591093908860,1595434311750,1595434311775,1595434317094,1595434317118
delay-statistics,1591093906836,1595434305690,1595434305736,1595434317097,1595434317119
delay-statistics,1591093909525,1595434313741,1595434313845,1595434317098,1595434317119
delay-statistics,1591093907518,1595434307714,1595434307734,1595434317105,1595434317135
delay-statistics,1591093909155,1595434312738,1595434312796,1595434317105,1595434317135
delay-statistics,1591093907155,1595434306701,1595434306803,1595434317106,1595434317135
delay-statistics,1591093907836,1595434308705,1595434308744,1595434317112,1595434317135
delay-statistics,1591093906541,1595434304640,1595434304667,1595434317113,1595434317135
delay-statistics,1591093909860,1595434314750,1595434314772,1595434317122,1595434317136
delay-statistics,1591093908559,1595434310716,1595434310765,1595434317123,1595434317136
emergency-stop-streaming,1591093910520,1595434316750,1595434316783,1595434317557,1595434317567
emergency-stop-table,1591093910520,1595434316750,1595434316783,1595434317820,1595434317826
emergency-stop-streaming,1591093910745,1595434317768,1595434317806,1595434318633,1595434318651
emergency-stop-table,1591093910745,1595434317768,1595434317806,1595434319850,1595434319864
emergency-stop-streaming,1591093911157,1595434318768,1595434318828,1595434320242,1595434320256
emergency-stop-streaming,1591093911520,1595434319758,1595434319779,1595434321227,1595434321232
emergency-stop-table,1591093911157,1595434318768,1595434318828,1595434321558,1595434321564
emergency-stop-streaming,1591093911738,1595434320768,1595434320791,1595434322048,1595434322058
emergency-stop-streaming,1591093912157,1595434321782,1595434321830,1595434322577,1595434322592
emergency-stop-table,1591093911520,1595434319758,1595434319779,1595434322988,1595434322990
emergency-stop-table,1591093911738,1595434320768,1595434320791,1595434324387,1595434324395
emergency-stop-table,1591093912157,1595434321782,1595434321830,1595434325165,1595434325177
emergency-stop-streaming,1591093912520,1595434322807,1595434322829,1595434325263,1595434325276
emergency-stop-streaming,1591093912745,1595434323799,1595434323824,1595434326232,1595434326244
emergency-stop-table,1591093912520,1595434322807,1595434322829,1595434327696,1595434327703
emergency-stop-streaming,1591093913157,1595434324798,1595434324826,1595434328319,1595434328325
emergency-stop-table,1591093912745,1595434323799,1595434323824,1595434328515,1595434328524
emergency-stop-streaming,1591093913520,1595434325805,1595434325829,1595434328780,1595434328785
emergency-stop-streaming,1591093913737,1595434326819,1595434326890,1595434330031,1595434330041
vehicle-count,1591093912155,1595434321768,1595434321839,1595434331460,1595434331469
vehicle-count,1591093910520,1595434316750,1595434316783,1595434331454,1595434331470
vehicle-count,1591093911738,1595434320768,1595434320791,1595434331454,1595434331471
vehicle-count,1591093910745,1595434317768,1595434317806,1595434331471,1595434331483
vehicle-count,1591093912156,1595434321768,1595434321830,1595434331483,1595434331495
vehicle-count,1591093914426,1595434328836,1595434328882,1595434331484,1595434331496
vehicle-count,1591093913520,1595434325805,1595434325829,1595434331485,1595434331496
vehicle-count,1591093910157,1595434315754,1595434315773,1595434331502,1595434331522
vehicle-count,1591093914717,1595434329834,1595434329863,1595434331503,1595434331523
vehicle-count,1591093911520,1595434319758,1595434319779,1595434331503,1595434331523
vehicle-count,1591093913735,1595434326802,1595434326861,1595434331504,1595434331523
vehicle-count,1591093910156,1595434315746,1595434315773,1595434331509,1595434331524
vehicle-count,1591093912745,1595434323799,1595434323824,1595434331510,1595434331525
vehicle-count,1591093913157,1595434324798,1595434324826,1595434331511,1595434331525
vehicle-count,1591093912157,1595434321782,1595434321830,1595434331511,1595434331525
vehicle-count,1591093912520,1595434322807,1595434322829,1595434331514,1595434331529
vehicle-count,1591093911157,1595434318768,1595434318828,1595434331516,1595434331530
vehicle-count,1591093914425,1595434328829,1595434328861,1595434331517,1595434331530
vehicle-count,1591093910519,1595434316743,1595434316761,1595434331520,1595434331535
vehicle-count,1591093913736,1595434326819,1595434326890,1595434331522,1595434331536
vehicle-count,1591093914157,1595434327822,1595434327864,1595434331522,1595434331541
vehicle-count,1591093913737,1595434326819,1595434326890,1595434331525,1595434331543
emergency-stop-table,1591093913157,1595434324798,1595434324826,1595434331709,1595434331717
emergency-stop-streaming,1591093914157,1595434327822,1595434327864,1595434332371,1595434332383
delay-statistics,1591093910155,1595434315754,1595434315809,1595434332570,1595434332584
delay-statistics,1591093913518,1595434325805,1595434325827,1595434332572,1595434332584
delay-statistics,1591093913155,1595434324798,1595434324863,1595434332574,1595434332585
delay-statistics,1591093911518,1595434319758,1595434319778,1595434332576,1595434332585
delay-statistics,1591093911736,1595434320774,1595434320818,1595434332578,1595434332585
delay-statistics,1591093911155,1595434318785,1595434318877,1595434332578,1595434332585
delay-statistics,1591093914715,1595434329840,1595434329900,1595434332586,1595434332589
delay-statistics,1591093913735,1595434326819,1595434326866,1595434332590,1595434332592
delay-statistics,1591093912518,1595434322807,1595434322827,1595434332605,1595434332612
delay-statistics,1591093912743,1595434323803,1595434323846,1595434332593,1595434332615
delay-statistics,1591093914155,1595434327822,1595434327866,1595434332594,1595434332615
delay-statistics,1591093912155,1595434321782,1595434321836,1595434332600,1595434332616
delay-statistics,1591093914424,1595434328836,1595434328899,1595434332602,1595434332616
delay-statistics,1591093910743,1595434317768,1595434317804,1595434332603,1595434332616
delay-statistics,1591093910518,1595434316750,1595434316787,1595434332603,1595434332616
emergency-stop-table,1591093913520,1595434325805,1595434325829,1595434333565,1595434333568
emergency-stop-streaming,1591093914426,1595434328836,1595434328882,1595434333728,1595434333739
emergency-stop-streaming,1591093914717,1595434329834,1595434329863,1595434335387,1595434335400
emergency-stop-table,1591093913737,1595434326819,1595434326890,1595434335445,1595434335449
emergency-stop-streaming,1591093915157,1595434330862,1595434330904,1595434336806,1595434336816
emergency-stop-streaming,1591093915348,1595434331835,1595434331866,1595434337596,1595434337608
emergency-stop-table,1591093914157,1595434327822,1595434327864,1595434338155,1595434338163
emergency-stop-streaming,1591093915735,1595434332842,1595434332884,1595434338765,1595434338769
emergency-stop-table,1591093914426,1595434328836,1595434328882,1595434339953,1595434339974
emergency-stop-streaming,1591093916754,1595434335861,1595434335928,1595434340303,1595434340309
emergency-stop-streaming,1591093917157,1595434336864,1595434336885,1595434341211,1595434341214
emergency-stop-streaming,1591093916385,1595434334867,1595434334933,1595434341841,1595434341853
emergency-stop-streaming,1591093917757,1595434338922,1595434338947,1595434341981,1595434342057
emergency-stop-table,1591093914717,1595434329834,1595434329863,1595434342062,1595434342071
emergency-stop-streaming,1591093917426,1595434337879,1595434337912,1595434342107,1595434342136
emergency-stop-streaming,1591093916157,1595434333857,1595434333885,1595434343341,1595434343345
emergency-stop-table,1591093915157,1595434330862,1595434330904,1595434343589,1595434343596
emergency-stop-table,1591093915348,1595434331835,1595434331866,1595434345857,1595434345869
emergency-stop-streaming,1591093918157,1595434339965,1595434340024,1595434345982,1595434345993
emergency-stop-streaming,1591093918470,1595434341011,1595434341047,1595434346149,1595434346162
vehicle-count,1591093919157,1595434342986,1595434343044,1595434346553,1595434346560
vehicle-count,1591093919520,1595434343988,1595434344019,1595434346546,1595434346565
vehicle-count,1591093918157,1595434339965,1595434340024,1595434346548,1595434346566
vehicle-count,1591093916754,1595434335861,1595434335928,1595434346548,1595434346566
vehicle-count,1591093919518,1595434343976,1595434344019,1595434346551,1595434346572
vehicle-count,1591093915156,1595434330862,1595434330907,1595434346553,1595434346573
vehicle-count,1591093919744,1595434344984,1595434345037,1595434346559,1595434346579
vehicle-count,1591093915348,1595434331835,1595434331866,1595434346574,1595434346584
vehicle-count,1591093915734,1595434332837,1595434332858,1595434346575,1595434346585
vehicle-count,1591093919745,1595434344984,1595434345028,1595434346575,1595434346585
vehicle-count,1591093917757,1595434338922,1595434338947,1595434346565,1595434346592
vehicle-count,1591093918469,1595434341004,1595434341047,1595434346567,1595434346592
vehicle-count,1591093919519,1595434343988,1595434344019,1595434346591,1595434346604
vehicle-count,1591093917426,1595434337879,1595434337912,1595434346592,1595434346605
vehicle-count,1591093915735,1595434332842,1595434332884,1595434346592,1595434346605
vehicle-count,1591093916157,1595434333857,1595434333885,1595434346592,1595434346605
vehicle-count,1591093918470,1595434341011,1595434341047,1595434346591,1595434346612
vehicle-count,1591093916385,1595434334867,1595434334933,1595434346597,1595434346618
vehicle-count,1591093915157,1595434330862,1595434330904,1595434346597,1595434346619
vehicle-count,1591093917157,1595434336864,1595434336885,1595434346598,1595434346619
vehicle-count,1591093918758,1595434341976,1595434342015,1595434346620,1595434346652
vehicle-count,1591093918757,1595434341961,1595434342057,1595434346620,1595434346652
delay-statistics,1591093918155,1595434339971,1595434340020,1595434346687,1595434346705
delay-statistics,1591093916752,1595434335886,1595434335944,1595434346691,1595434346706
emergency-stop-streaming,1591093918758,1595434341976,1595434342015,1595434346692,1595434346710
delay-statistics,1591093916383,1595434334867,1595434334911,1595434346696,1595434346710
delay-statistics,1591093918756,1595434341976,1595434342057,1595434346696,1595434346710
delay-statistics,1591093915346,1595434331840,1595434331868,1595434346700,1595434346711
delay-statistics,1591093915733,1595434332842,1595434332884,1595434346703,1595434346711
delay-statistics,1591093917424,1595434337879,1595434337909,1595434346706,1595434346711
delay-statistics,1591093919743,1595434344992,1595434345033,1595434346704,1595434346715
delay-statistics,1591093917755,1595434338931,1595434338974,1595434346708,1595434346717
delay-statistics,1591093919518,1595434343989,1595434344077,1595434346730,1595434346754
delay-statistics,1591093915155,1595434330871,1595434330904,1595434346731,1595434346754
delay-statistics,1591093918468,1595434341011,1595434341063,1595434346732,1595434346754
delay-statistics,1591093917155,1595434336871,1595434336929,1595434346732,1595434346754
delay-statistics,1591093919155,1595434343003,1595434343175,1595434346734,1595434346754
delay-statistics,1591093916155,1595434333864,1595434333887,1595434346735,1595434346754
emergency-stop-table,1591093915735,1595434332842,1595434332884,1595434347817,1595434347828
emergency-stop-table,1591093916157,1595434333857,1595434333885,1595434350459,1595434350466
emergency-stop-streaming,1591093919520,1595434343988,1595434344019,1595434351008,1595434351017
emergency-stop-streaming,1591093919745,1595434344984,1595434345028,1595434352240,1595434352248
emergency-stop-table,1591093916385,1595434334867,1595434334933,1595434353240,1595434353246
emergency-stop-streaming,1591093919157,1595434342986,1595434343044,1595434353731,1595434353736
emergency-stop-table,1591093916754,1595434335861,1595434335928,1595434355816,1595434355824
emergency-stop-table,1591093917157,1595434336864,1595434336885,1595434356453,1595434356495
emergency-stop-streaming,1591093920157,1595434345995,1595434346091,1595434357389,1595434357396
emergency-stop-table,1591093917426,1595434337879,1595434337912,1595434357631,1595434357642
emergency-stop-streaming,1591093921957,1595434352016,1595434352043,1595434357638,1595434357649
emergency-stop-table,1591093918758,1595434341976,1595434342015,1595434357721,1595434357732
emergency-stop-streaming,1591093921592,1595434351013,1595434351042,1595434358943,1595434358949
emergency-stop-table,1591093917757,1595434338922,1595434338947,1595434359007,1595434359032
emergency-stop-streaming,1591093920426,1595434346991,1595434347032,1595434359034,1595434359046
emergency-stop-table,1591093918470,1595434341011,1595434341047,1595434359315,1595434359327
emergency-stop-table,1591093918157,1595434339965,1595434340024,1595434359477,1595434359480
emergency-stop-table,1591093919157,1595434342986,1595434343044,1595434359547,1595434359553
emergency-stop-streaming,1591093922681,1595434354029,1595434354065,1595434359680,1595434359712
emergency-stop-table,1591093919520,1595434343988,1595434344019,1595434360661,1595434360674
emergency-stop-streaming,1591093921157,1595434349002,1595434349032,1595434360857,1595434360866
emergency-stop-streaming,1591093922322,1595434353020,1595434353057,1595434361025,1595434361039
emergency-stop-table,1591093920157,1595434345995,1595434346091,1595434361282,1595434361286
emergency-stop-streaming,1591093920677,1595434347993,1595434348027,1595434361346,1595434361357
