job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-detection-streaming,1598360431694,1598360431705,1598360432527,1598360432570
emergency-stop-detection-table,1598360431694,1598360431705,1598360432625,1598360432689
emergency-stop-detection-streaming,1598360432696,1598360432701,1598360433516,1598360433537
emergency-stop-detection-table,1598360432696,1598360432701,1598360433724,1598360433738
emergency-stop-detection-streaming,1598360433699,1598360433702,1598360434537,1598360434545
emergency-stop-detection-table,1598360433699,1598360433702,1598360434729,1598360434752
emergency-stop-detection-streaming,1598360434702,1598360434710,1598360435534,1598360435541
emergency-stop-detection-table,1598360434702,1598360434710,1598360435723,1598360435734
vehicle-distribution,1598360433697,1598360433702,1598360435798,1598360435817
vehicle-distribution,1598360433699,1598360433702,1598360435798,1598360435817
vehicle-distribution,1598360433697,1598360433702,1598360435798,1598360435817
vehicle-distribution,1598360432696,1598360432701,1598360435798,1598360435817
vehicle-distribution,1598360431694,1598360431705,1598360435810,1598360435823
delay-distribution,1598360433701,1598360433705,1598360436187,1598360436201
delay-distribution,1598360431694,1598360431705,1598360436190,1598360436211
delay-distribution,1598360432697,1598360432701,1598360436191,1598360436212
emergency-stop-detection-streaming,1598360436705,1598360436712,1598360437558,1598360437564
emergency-stop-detection-streaming,1598360437706,1598360437712,1598360438566,1598360438579
vehicle-distribution,1598360434702,1598360434710,1598360440657,1598360440680
vehicle-distribution,1598360437706,1598360437712,1598360440658,1598360440680
vehicle-distribution,1598360438706,1598360438709,1598360440682,1598360440699
vehicle-distribution,1598360436705,1598360436712,1598360440662,1598360440701
emergency-stop-detection-streaming,1598360439710,1598360439718,1598360440670,1598360440710
vehicle-distribution,1598360438707,1598360438712,1598360440702,1598360440715
vehicle-distribution,1598360438708,1598360438712,1598360440702,1598360440715
vehicle-distribution,1598360435703,1598360435709,1598360440702,1598360440716
emergency-stop-detection-table,1598360439710,1598360439718,1598360440750,1598360440762
delay-distribution,1598360436705,1598360436708,1598360441527,1598360441530
delay-distribution,1598360438708,1598360438718,1598360441533,1598360441549
delay-distribution,1598360434702,1598360434706,1598360441535,1598360441549
delay-distribution,1598360435703,1598360435709,1598360441538,1598360441550
delay-distribution,1598360437707,1598360437712,1598360441533,1598360441550
emergency-stop-detection-streaming,1598360440713,1598360440719,1598360441680,1598360441705
emergency-stop-detection-table,1598360440713,1598360440719,1598360441959,1598360441966
emergency-stop-detection-streaming,1598360441715,1598360441726,1598360442677,1598360442686
emergency-stop-detection-table,1598360441715,1598360441726,1598360442750,1598360442754
emergency-stop-detection-streaming,1598360442717,1598360442722,1598360443620,1598360443625
emergency-stop-detection-table,1598360442717,1598360442722,1598360443769,1598360443777
emergency-stop-detection-streaming,1598360443719,1598360443726,1598360444676,1598360444684
emergency-stop-detection-table,1598360443719,1598360443726,1598360444769,1598360444773
vehicle-distribution,1598360442717,1598360442722,1598360445811,1598360445818
vehicle-distribution,1598360441715,1598360441726,1598360445811,1598360445818
vehicle-distribution,1598360440713,1598360440719,1598360445811,1598360445818
vehicle-distribution,1598360439709,1598360439713,1598360445807,1598360445831
vehicle-distribution,1598360439710,1598360439718,1598360445782,1598360445837
vehicle-distribution,1598360439710,1598360439713,1598360445782,1598360445837
vehicle-distribution,1598360443717,1598360443726,1598360445783,1598360445840
vehicle-distribution,1598360443719,1598360443726,1598360445783,1598360445840
delay-distribution,1598360440713,1598360440719,1598360445832,1598360445848
delay-distribution,1598360442717,1598360442722,1598360445834,1598360445849
delay-distribution,1598360439710,1598360439716,1598360445826,1598360445855
delay-distribution,1598360441715,1598360441720,1598360445829,1598360445855
delay-distribution,1598360443721,1598360443726,1598360445832,1598360445856
emergency-stop-detection-streaming,1598360444721,1598360444728,1598360445877,1598360445886
emergency-stop-detection-table,1598360444721,1598360444728,1598360445969,1598360445976
emergency-stop-detection-streaming,1598360445725,1598360445730,1598360446680,1598360446688
emergency-stop-detection-table,1598360445725,1598360445730,1598360446764,1598360446769
emergency-stop-detection-streaming,1598360446723,1598360446727,1598360447880,1598360447888
emergency-stop-detection-table,1598360446723,1598360446727,1598360447971,1598360447979
emergency-stop-detection-streaming,1598360447726,1598360447730,1598360448888,1598360448893
emergency-stop-detection-table,1598360447726,1598360447730,1598360448962,1598360448968
emergency-stop-detection-streaming,1598360448729,1598360448733,1598360449883,1598360449889
emergency-stop-detection-table,1598360448729,1598360448733,1598360449962,1598360449971
vehicle-distribution,1598360444721,1598360444728,1598360450700,1598360450708
vehicle-distribution,1598360448729,1598360448733,1598360450700,1598360450708
vehicle-distribution,1598360446723,1598360446727,1598360450700,1598360450708
vehicle-distribution,1598360446723,1598360446727,1598360450707,1598360450738
vehicle-distribution,1598360447726,1598360447730,1598360450711,1598360450739
