job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-streaming,1597426386342,1597426386533,1597426389239,1597426389314
emergency-stop-table,1597426386342,1597426386533,1597426389259,1597426389348
emergency-stop-streaming,1597426387387,1597426387393,1597426389751,1597426389760
emergency-stop-table,1597426387387,1597426387393,1597426389846,1597426389860
emergency-stop-streaming,1597426388389,1597426388408,1597426390576,1597426390623
emergency-stop-table,1597426388389,1597426388408,1597426390803,1597426390849
emergency-stop-streaming,1597426390435,1597426390503,1597426392711,1597426392731
emergency-stop-table,1597426390435,1597426390503,1597426392854,1597426392889
emergency-stop-streaming,1597426391491,1597426391521,1597426393771,1597426393777
emergency-stop-table,1597426391491,1597426391521,1597426393851,1597426393873
emergency-stop-streaming,1597426392741,1597426392748,1597426395464,1597426395484
emergency-stop-table,1597426392741,1597426392748,1597426395610,1597426395639
emergency-stop-streaming,1597426393887,1597426393913,1597426396488,1597426396495
emergency-stop-table,1597426393887,1597426393913,1597426396616,1597426396729
delay-statistics,1597426388390,1597426388410,1597426397173,1597426397227
delay-statistics,1597426392741,1597426392746,1597426397177,1597426397228
delay-statistics,1597426391491,1597426391524,1597426397210,1597426397230
delay-statistics,1597426393887,1597426393907,1597426397219,1597426397235
delay-statistics,1597426387387,1597426387394,1597426397222,1597426397236
delay-statistics,1597426389406,1597426389421,1597426397222,1597426397236
delay-statistics,1597426390435,1597426390508,1597426397226,1597426397244
delay-statistics,1597426386342,1597426386550,1597426397227,1597426397244
emergency-stop-table,1597426394964,1597426394984,1597426397428,1597426397438
emergency-stop-streaming,1597426394964,1597426394984,1597426397433,1597426397440
vehicle-count,1597426387387,1597426387393,1597426398309,1597426398399
vehicle-count,1597426386342,1597426386533,1597426398334,1597426398408
vehicle-count,1597426388389,1597426388408,1597426398371,1597426398475
vehicle-count,1597426391491,1597426391521,1597426398349,1597426398493
vehicle-count,1597426390435,1597426390505,1597426398350,1597426398493
emergency-stop-table,1597426396114,1597426396126,1597426398495,1597426398547
vehicle-count,1597426387387,1597426387394,1597426398456,1597426398561
vehicle-count,1597426393887,1597426393913,1597426398481,1597426398563
vehicle-count,1597426390435,1597426390503,1597426398530,1597426398564
vehicle-count,1597426390435,1597426390503,1597426398530,1597426398564
vehicle-count,1597426392741,1597426392748,1597426398478,1597426398596
vehicle-count,1597426389405,1597426389429,1597426398480,1597426398597
emergency-stop-streaming,1597426396114,1597426396126,1597426398606,1597426398639
emergency-stop-table,1597426397097,1597426397114,1597426399590,1597426399603
emergency-stop-streaming,1597426397097,1597426397114,1597426399747,1597426399768
emergency-stop-table,1597426398165,1597426398201,1597426400443,1597426400477
emergency-stop-streaming,1597426398165,1597426398201,1597426400628,1597426400642
emergency-stop-table,1597426399130,1597426399145,1597426402165,1597426402178
emergency-stop-streaming,1597426400246,1597426400275,1597426402509,1597426402534
emergency-stop-table,1597426400246,1597426400275,1597426402599,1597426402619
emergency-stop-streaming,1597426401258,1597426401277,1597426403782,1597426403793
emergency-stop-table,1597426401258,1597426401277,1597426403834,1597426403850
emergency-stop-table,1597426403458,1597426403469,1597426406050,1597426406077
emergency-stop-streaming,1597426403458,1597426403469,1597426406714,1597426406724
emergency-stop-table,1597426404405,1597426404427,1597426407061,1597426407069
emergency-stop-streaming,1597426404405,1597426404427,1597426407377,1597426407397
emergency-stop-table,1597426405460,1597426405466,1597426408015,1597426408023
emergency-stop-streaming,1597426405460,1597426405466,1597426408066,1597426408093
emergency-stop-table,1597426406465,1597426406477,1597426408990,1597426409017
delay-statistics,1597426405460,1597426405466,1597426409069,1597426409086
delay-statistics,1597426403458,1597426403470,1597426409074,1597426409086
delay-statistics,1597426404405,1597426404422,1597426409076,1597426409087
delay-statistics,1597426396114,1597426396123,1597426409087,1597426409108
delay-statistics,1597426398165,1597426398195,1597426409099,1597426409123
delay-statistics,1597426400246,1597426400276,1597426409102,1597426409127
delay-statistics,1597426401258,1597426401285,1597426409103,1597426409128
delay-statistics,1597426397097,1597426397115,1597426409108,1597426409128
delay-statistics,1597426399130,1597426399141,1597426409110,1597426409129
delay-statistics,1597426394965,1597426394978,1597426409105,1597426409140
delay-statistics,1597426402244,1597426402269,1597426409113,1597426409143
emergency-stop-streaming,1597426406465,1597426406477,1597426409368,1597426409396
vehicle-count,1597426394964,1597426394984,1597426409784,1597426409807
vehicle-count,1597426394964,1597426394984,1597426409784,1597426409807
vehicle-count,1597426402244,1597426402267,1597426409784,1597426409807
vehicle-count,1597426405460,1597426405466,1597426409789,1597426409809
vehicle-count,1597426403458,1597426403465,1597426409789,1597426409810
vehicle-count,1597426403458,1597426403469,1597426409789,1597426409810
vehicle-count,1597426397097,1597426397109,1597426409783,1597426409816
vehicle-count,1597426396114,1597426396133,1597426409783,1597426409817
vehicle-count,1597426396114,1597426396126,1597426409801,1597426409830
vehicle-count,1597426394964,1597426394981,1597426409802,1597426409831
vehicle-count,1597426404405,1597426404427,1597426409802,1597426409831
vehicle-count,1597426398165,1597426398201,1597426409802,1597426409831
vehicle-count,1597426397097,1597426397114,1597426409800,1597426409843
vehicle-count,1597426400246,1597426400275,1597426409836,1597426409887
vehicle-count,1597426399130,1597426399145,1597426409836,1597426409887
vehicle-count,1597426401258,1597426401277,1597426409789,1597426409929
vehicle-count,1597426399130,1597426399141,1597426409837,1597426409930
vehicle-count,1597426399130,1597426399145,1597426409837,1597426409930
