job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-table,1597758950097,1597758950120,1597758951112,1597758951182
emergency-stop-streaming,1597758950097,1597758950120,1597758951202,1597758951322
emergency-stop-streaming,1597758951099,1597758951103,1597758952053,1597758952075
emergency-stop-table,1597758951099,1597758951103,1597758952216,1597758952221
emergency-stop-streaming,1597758952099,1597758952103,1597758953143,1597758953182
emergency-stop-table,1597758952099,1597758952103,1597758953288,1597758953296
vehicle-count,1597758950097,1597758950128,1597758954181,1597758954191
delay-statistics,1597758952099,1597758952106,1597758954178,1597758954219
delay-statistics,1597758950097,1597758950128,1597758954191,1597758954227
delay-statistics,1597758951100,1597758951105,1597758954192,1597758954228
vehicle-count,1597758951099,1597758951103,1597758954190,1597758954229
vehicle-count,1597758950097,1597758950120,1597758954194,1597758954229
vehicle-count,1597758952099,1597758952103,1597758954194,1597758954230
emergency-stop-table,1597758953101,1597758953104,1597758954274,1597758954343
emergency-stop-streaming,1597758953101,1597758953104,1597758954300,1597758954369
emergency-stop-streaming,1597758954102,1597758954107,1597758955186,1597758955194
emergency-stop-table,1597758954102,1597758954107,1597758955678,1597758955684
emergency-stop-streaming,1597758955104,1597758955112,1597758956461,1597758956480
emergency-stop-table,1597758955104,1597758955112,1597758957162,1597758957186
emergency-stop-streaming,1597758956105,1597758956115,1597758957639,1597758957652
emergency-stop-table,1597758956105,1597758956115,1597758958864,1597758958869
delay-statistics,1597758953101,1597758953108,1597758959189,1597758959226
delay-statistics,1597758954102,1597758954106,1597758959191,1597758959226
delay-statistics,1597758955104,1597758955109,1597758959191,1597758959226
delay-statistics,1597758956106,1597758956109,1597758959187,1597758959227
delay-statistics,1597758957109,1597758957114,1597758959201,1597758959227
vehicle-count,1597758956105,1597758956115,1597758959218,1597758959232
vehicle-count,1597758957108,1597758957113,1597758959224,1597758959234
vehicle-count,1597758957107,1597758957110,1597758959235,1597758959256
vehicle-count,1597758955104,1597758955112,1597758959246,1597758959261
vehicle-count,1597758953101,1597758953104,1597758959276,1597758959290
vehicle-count,1597758954102,1597758954107,1597758959281,1597758959297
vehicle-count,1597758957109,1597758957116,1597758959281,1597758959297
emergency-stop-streaming,1597758958110,1597758958120,1597758960858,1597758960863
emergency-stop-streaming,1597758959110,1597758959113,1597758962647,1597758962664
emergency-stop-streaming,1597758960111,1597758960121,1597758963881,1597758963884
delay-statistics,1597758959110,1597758959116,1597758964126,1597758964144
delay-statistics,1597758962113,1597758962121,1597758964125,1597758964151
delay-statistics,1597758958110,1597758958120,1597758964126,1597758964151
delay-statistics,1597758960111,1597758960121,1597758964127,1597758964151
delay-statistics,1597758961112,1597758961122,1597758964147,1597758964157
vehicle-count,1597758960111,1597758960121,1597758964346,1597758964358
vehicle-count,1597758958110,1597758958120,1597758964355,1597758964369
vehicle-count,1597758959110,1597758959113,1597758964355,1597758964371
vehicle-count,1597758962113,1597758962116,1597758964350,1597758964385
vehicle-count,1597758961112,1597758961128,1597758964350,1597758964387
emergency-stop-table,1597758959110,1597758959113,1597758964997,1597758965013
emergency-stop-table,1597758958110,1597758958120,1597758965191,1597758965204
emergency-stop-streaming,1597758961112,1597758961128,1597758967427,1597758967433
emergency-stop-streaming,1597758962113,1597758962116,1597758967710,1597758967719
delay-statistics,1597758967118,1597758967123,1597758969147,1597758969157
delay-statistics,1597758966117,1597758966126,1597758969150,1597758969158
delay-statistics,1597758965118,1597758965147,1597758969150,1597758969158
delay-statistics,1597758964115,1597758964119,1597758969175,1597758969183
delay-statistics,1597758963114,1597758963121,1597758969177,1597758969183
vehicle-count,1597758964115,1597758964119,1597758969245,1597758969251
vehicle-count,1597758967118,1597758967121,1597758969236,1597758969260
vehicle-count,1597758963114,1597758963118,1597758969236,1597758969261
vehicle-count,1597758965117,1597758965147,1597758969240,1597758969267
vehicle-count,1597758965117,1597758965120,1597758969250,1597758969274
vehicle-count,1597758966117,1597758966120,1597758969252,1597758969284
emergency-stop-streaming,1597758963114,1597758963118,1597758970607,1597758970616
emergency-stop-table,1597758961112,1597758961128,1597758971252,1597758971263
emergency-stop-table,1597758960111,1597758960121,1597758971280,1597758971293
emergency-stop-streaming,1597758964115,1597758964119,1597758972306,1597758972317
emergency-stop-streaming,1597758967118,1597758967121,1597758973092,1597758973140
emergency-stop-streaming,1597758968121,1597758968125,1597758973350,1597758973365
emergency-stop-streaming,1597758965117,1597758965120,1597758973411,1597758973423
delay-statistics,1597758970125,1597758970132,1597758974235,1597758974243
delay-statistics,1597758971124,1597758971128,1597758974241,1597758974252
delay-statistics,1597758972126,1597758972137,1597758974243,1597758974252
delay-statistics,1597758968121,1597758968125,1597758974254,1597758974265
delay-statistics,1597758969123,1597758969132,1597758974259,1597758974266
vehicle-count,1597758972126,1597758972137,1597758974504,1597758974532
vehicle-count,1597758968121,1597758968125,1597758974506,1597758974533
vehicle-count,1597758969123,1597758969132,1597758974527,1597758974539
