job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-detection-streaming,1598372479536,1598372479546,1598372481077,1598372481163
emergency-stop-detection-table,1598372479536,1598372479546,1598372481317,1598372481389
emergency-stop-detection-streaming,1598372480538,1598372480578,1598372482298,1598372482320
emergency-stop-detection-table,1598372480538,1598372480578,1598372482345,1598372482362
emergency-stop-detection-table,1598372481534,1598372481558,1598372482677,1598372482716
emergency-stop-detection-streaming,1598372481534,1598372481558,1598372483133,1598372483151
emergency-stop-detection-table,1598372482541,1598372482560,1598372484220,1598372484236
emergency-stop-detection-table,1598372483548,1598372483561,1598372485309,1598372485330
emergency-stop-detection-streaming,1598372482541,1598372482560,1598372485612,1598372485648
delay-distribution,1598372483553,1598372483569,1598372486177,1598372486223
delay-distribution,1598372481535,1598372481557,1598372486191,1598372486247
delay-distribution,1598372482541,1598372482560,1598372486244,1598372486274
delay-distribution,1598372479536,1598372479549,1598372486245,1598372486274
delay-distribution,1598372480538,1598372480579,1598372486248,1598372486299
emergency-stop-detection-streaming,1598372483548,1598372483561,1598372486539,1598372486556
emergency-stop-detection-table,1598372484542,1598372484563,1598372486618,1598372486654
vehicle-distribution,1598372481534,1598372481569,1598372486866,1598372486914
vehicle-distribution,1598372481534,1598372481558,1598372486866,1598372486914
vehicle-distribution,1598372480538,1598372480578,1598372486907,1598372486935
vehicle-distribution,1598372483545,1598372483554,1598372486953,1598372486987
vehicle-distribution,1598372483548,1598372483561,1598372486953,1598372486987
vehicle-distribution,1598372482541,1598372482560,1598372486953,1598372486987
vehicle-distribution,1598372480537,1598372480571,1598372486994,1598372487010
vehicle-distribution,1598372480537,1598372480580,1598372486994,1598372487011
vehicle-distribution,1598372479536,1598372479546,1598372487005,1598372487020
emergency-stop-detection-streaming,1598372484542,1598372484563,1598372487047,1598372487093
emergency-stop-detection-streaming,1598372485545,1598372485563,1598372487519,1598372487562
emergency-stop-detection-table,1598372485545,1598372485563,1598372487774,1598372487785
emergency-stop-detection-table,1598372487545,1598372487563,1598372489333,1598372489347
emergency-stop-detection-streaming,1598372487545,1598372487563,1598372489609,1598372489627
emergency-stop-detection-streaming,1598372488547,1598372488563,1598372490606,1598372490625
emergency-stop-detection-table,1598372488547,1598372488563,1598372490596,1598372490632
emergency-stop-detection-table,1598372489545,1598372489553,1598372491487,1598372491496
emergency-stop-detection-streaming,1598372489545,1598372489553,1598372491724,1598372491742
emergency-stop-detection-table,1598372490551,1598372490600,1598372492400,1598372492421
emergency-stop-detection-streaming,1598372490551,1598372490600,1598372492407,1598372492425
emergency-stop-detection-streaming,1598372491547,1598372491560,1598372493422,1598372493442
delay-distribution,1598372484542,1598372484557,1598372494009,1598372494031
delay-distribution,1598372486551,1598372486560,1598372494021,1598372494040
delay-distribution,1598372487546,1598372487565,1598372494020,1598372494043
delay-distribution,1598372485546,1598372485565,1598372494008,1598372494049
delay-distribution,1598372489546,1598372489553,1598372494030,1598372494055
delay-distribution,1598372491548,1598372491557,1598372494041,1598372494056
delay-distribution,1598372488547,1598372488561,1598372494032,1598372494056
delay-distribution,1598372490551,1598372490575,1598372494036,1598372494057
vehicle-distribution,1598372484541,1598372484556,1598372494471,1598372494490
vehicle-distribution,1598372484542,1598372484563,1598372494471,1598372494490
vehicle-distribution,1598372491547,1598372491569,1598372494471,1598372494490
vehicle-distribution,1598372490551,1598372490600,1598372494471,1598372494490
vehicle-distribution,1598372487545,1598372487570,1598372494471,1598372494490
vehicle-distribution,1598372489545,1598372489553,1598372494473,1598372494493
vehicle-distribution,1598372488547,1598372488563,1598372494473,1598372494493
emergency-stop-detection-table,1598372492556,1598372492562,1598372494493,1598372494511
vehicle-distribution,1598372488547,1598372488560,1598372494537,1598372494597
vehicle-distribution,1598372488547,1598372488560,1598372494537,1598372494597
vehicle-distribution,1598372485545,1598372485563,1598372494534,1598372494615
vehicle-distribution,1598372491547,1598372491571,1598372494534,1598372494616
vehicle-distribution,1598372491547,1598372491560,1598372494534,1598372494616
vehicle-distribution,1598372487545,1598372487563,1598372494534,1598372494616
vehicle-distribution,1598372487545,1598372487563,1598372494534,1598372494616
vehicle-distribution,1598372486549,1598372486561,1598372494534,1598372494616
emergency-stop-detection-streaming,1598372492556,1598372492562,1598372494752,1598372494792
emergency-stop-detection-streaming,1598372493558,1598372493577,1598372495851,1598372495882
emergency-stop-detection-table,1598372493558,1598372493577,1598372495961,1598372495971
emergency-stop-detection-streaming,1598372494555,1598372494608,1598372496163,1598372496177
emergency-stop-detection-table,1598372494555,1598372494608,1598372496778,1598372496817
emergency-stop-detection-streaming,1598372495562,1598372495572,1598372497182,1598372497200
