job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-table,1595863695914,1595863695921,1595863697054,1595863697093
emergency-stop-streaming,1595863695914,1595863695921,1595863697189,1595863697209
emergency-stop-table,1595863696915,1595863696923,1595863698135,1595863698143
emergency-stop-streaming,1595863696915,1595863696923,1595863698193,1595863698207
emergency-stop-table,1595863697917,1595863697925,1595863699119,1595863699129
emergency-stop-streaming,1595863697917,1595863697925,1595863699196,1595863699208
vehicle-count,1595863695914,1595863695921,1595863700034,1595863700046
vehicle-count,1595863697917,1595863697925,1595863700034,1595863700046
vehicle-count,1595863695914,1595863695921,1595863700039,1595863700051
vehicle-count,1595863696915,1595863696923,1595863700043,1595863700053
emergency-stop-table,1595863698920,1595863698933,1595863700118,1595863700121
emergency-stop-streaming,1595863698920,1595863698933,1595863700197,1595863700205
emergency-stop-table,1595863699921,1595863699944,1595863701115,1595863701121
emergency-stop-streaming,1595863699921,1595863699944,1595863701200,1595863701223
delay-statistics,1595863695915,1595863695921,1595863701456,1595863701463
delay-statistics,1595863696915,1595863696920,1595863701456,1595863701463
delay-statistics,1595863697917,1595863697921,1595863701456,1595863701463
emergency-stop-table,1595863700922,1595863700949,1595863702146,1595863702154
emergency-stop-streaming,1595863700922,1595863700949,1595863702193,1595863702214
emergency-stop-table,1595863701924,1595863701940,1595863703124,1595863703137
emergency-stop-streaming,1595863701924,1595863701940,1595863703194,1595863703202
emergency-stop-table,1595863702924,1595863702930,1595863704176,1595863704183
emergency-stop-streaming,1595863702924,1595863702930,1595863704216,1595863704219
vehicle-count,1595863698920,1595863698933,1595863705014,1595863705027
vehicle-count,1595863701924,1595863701940,1595863705015,1595863705028
vehicle-count,1595863702924,1595863702930,1595863705019,1595863705028
vehicle-count,1595863701923,1595863701943,1595863705019,1595863705029
vehicle-count,1595863698919,1595863698929,1595863705028,1595863705034
vehicle-count,1595863698918,1595863698929,1595863705015,1595863705039
vehicle-count,1595863699920,1595863699923,1595863705017,1595863705040
vehicle-count,1595863699921,1595863699944,1595863705018,1595863705040
vehicle-count,1595863700922,1595863700949,1595863705026,1595863705045
emergency-stop-table,1595863703925,1595863703930,1595863705115,1595863705118
emergency-stop-streaming,1595863703925,1595863703930,1595863705215,1595863705231
delay-statistics,1595863702924,1595863702930,1595863705841,1595863705844
delay-statistics,1595863698920,1595863698933,1595863705840,1595863705847
delay-statistics,1595863700922,1595863700949,1595863705840,1595863705847
delay-statistics,1595863699921,1595863699947,1595863705840,1595863705847
delay-statistics,1595863701924,1595863701943,1595863705841,1595863705847
emergency-stop-table,1595863704926,1595863704930,1595863706175,1595863706178
emergency-stop-streaming,1595863704926,1595863704930,1595863706218,1595863706225
emergency-stop-streaming,1595863705926,1595863705931,1595863707217,1595863707225
emergency-stop-table,1595863705926,1595863705931,1595863707223,1595863707227
emergency-stop-streaming,1595863706927,1595863706933,1595863708213,1595863708216
emergency-stop-table,1595863706927,1595863706933,1595863708224,1595863708226
emergency-stop-streaming,1595863707934,1595863707956,1595863709231,1595863709233
emergency-stop-table,1595863707934,1595863707956,1595863709259,1595863709261
vehicle-count,1595863705926,1595863705931,1595863710036,1595863710042
vehicle-count,1595863707932,1595863707947,1595863710037,1595863710051
vehicle-count,1595863703925,1595863703930,1595863710037,1595863710051
vehicle-count,1595863706927,1595863706933,1595863710037,1595863710051
vehicle-count,1595863705926,1595863705931,1595863710039,1595863710052
vehicle-count,1595863706927,1595863706933,1595863710040,1595863710052
vehicle-count,1595863705926,1595863705929,1595863710041,1595863710052
vehicle-count,1595863704926,1595863704930,1595863710042,1595863710053
vehicle-count,1595863706927,1595863706933,1595863710041,1595863710058
vehicle-count,1595863707934,1595863707956,1595863710044,1595863710062
emergency-stop-streaming,1595863708933,1595863708951,1595863710272,1595863710306
emergency-stop-table,1595863708933,1595863708951,1595863710298,1595863710311
delay-statistics,1595863704927,1595863704932,1595863710843,1595863710849
delay-statistics,1595863706927,1595863706933,1595863710845,1595863710851
delay-statistics,1595863703925,1595863703930,1595863710844,1595863710851
delay-statistics,1595863707935,1595863707956,1595863710843,1595863710854
delay-statistics,1595863705926,1595863705931,1595863710846,1595863710854
emergency-stop-streaming,1595863709935,1595863709969,1595863711222,1595863711231
emergency-stop-table,1595863709935,1595863709969,1595863711271,1595863711295
emergency-stop-table,1595863710936,1595863710947,1595863712240,1595863712245
emergency-stop-streaming,1595863710936,1595863710947,1595863712280,1595863712301
emergency-stop-streaming,1595863711937,1595863711944,1595863713227,1595863713249
emergency-stop-table,1595863711937,1595863711944,1595863713264,1595863713278
emergency-stop-table,1595863712939,1595863712944,1595863714221,1595863714226
