job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-table,1594917624288,1594917624353,1594917625483,1594917625588
emergency-stop-streaming,1594917624288,1594917624353,1594917625921,1594917626092
emergency-stop-streaming,1594917625300,1594917625328,1594917626522,1594917626544
emergency-stop-table,1594917625300,1594917625328,1594917626568,1594917626577
emergency-stop-table,1594917626296,1594917626314,1594917627547,1594917627567
emergency-stop-streaming,1594917626296,1594917626314,1594917627683,1594917627722
emergency-stop-table,1594917627298,1594917627324,1594917628589,1594917628652
vehicle-count,1594917626296,1594917626313,1594917628617,1594917628703
vehicle-count,1594917625300,1594917625328,1594917628658,1594917628756
vehicle-count,1594917624288,1594917624353,1594917628663,1594917628758
vehicle-count,1594917626296,1594917626314,1594917628663,1594917628759
delay-statistics,1594917626296,1594917626312,1594917628999,1594917629042
delay-statistics,1594917624288,1594917624347,1594917629032,1594917629047
delay-statistics,1594917625302,1594917625307,1594917629034,1594917629049
emergency-stop-streaming,1594917627298,1594917627324,1594917629081,1594917629101
emergency-stop-table,1594917628305,1594917628317,1594917629575,1594917629605
emergency-stop-streaming,1594917628305,1594917628317,1594917630109,1594917630136
emergency-stop-table,1594917629311,1594917629336,1594917630571,1594917630578
emergency-stop-table,1594917630320,1594917630350,1594917631646,1594917631656
emergency-stop-streaming,1594917629311,1594917629336,1594917632003,1594917632044
emergency-stop-table,1594917631324,1594917631346,1594917632645,1594917632653
emergency-stop-streaming,1594917630320,1594917630350,1594917633381,1594917633393
vehicle-count,1594917627298,1594917627324,1594917633585,1594917633593
vehicle-count,1594917630320,1594917630350,1594917633583,1594917633644
vehicle-count,1594917629311,1594917629336,1594917633612,1594917633679
vehicle-count,1594917628305,1594917628317,1594917633619,1594917633688
vehicle-count,1594917628305,1594917628315,1594917633620,1594917633688
emergency-stop-table,1594917632339,1594917632372,1594917633651,1594917633692
vehicle-count,1594917631324,1594917631346,1594917633633,1594917633695
emergency-stop-table,1594917633341,1594917633390,1594917634636,1594917634646
delay-statistics,1594917627299,1594917627331,1594917634794,1594917634814
delay-statistics,1594917630320,1594917630342,1594917634794,1594917634842
delay-statistics,1594917631325,1594917631342,1594917634800,1594917634842
delay-statistics,1594917628306,1594917628313,1594917634805,1594917634843
delay-statistics,1594917629311,1594917629347,1594917634806,1594917634843
emergency-stop-streaming,1594917631324,1594917631346,1594917635309,1594917635326
emergency-stop-table,1594917634348,1594917634406,1594917635693,1594917635723
emergency-stop-table,1594917635353,1594917635379,1594917636741,1594917636748
emergency-stop-streaming,1594917632339,1594917632372,1594917636748,1594917636755
emergency-stop-streaming,1594917633341,1594917633390,1594917637401,1594917637410
emergency-stop-table,1594917636370,1594917636401,1594917637710,1594917637715
vehicle-count,1594917634348,1594917634406,1594917638502,1594917638578
vehicle-count,1594917636370,1594917636401,1594917638530,1594917638588
vehicle-count,1594917635353,1594917635377,1594917638532,1594917638590
vehicle-count,1594917635353,1594917635379,1594917638523,1594917638592
vehicle-count,1594917635353,1594917635379,1594917638515,1594917638619
vehicle-count,1594917632339,1594917632372,1594917638537,1594917638650
vehicle-count,1594917633341,1594917633390,1594917638563,1594917638677
emergency-stop-table,1594917637374,1594917637392,1594917638710,1594917638735
delay-statistics,1594917633341,1594917633393,1594917639196,1594917639224
delay-statistics,1594917635354,1594917635371,1594917639205,1594917639227
delay-statistics,1594917632339,1594917632368,1594917639195,1594917639231
delay-statistics,1594917636370,1594917636396,1594917639197,1594917639231
delay-statistics,1594917634348,1594917634380,1594917639201,1594917639233
emergency-stop-streaming,1594917634348,1594917634406,1594917639369,1594917639374
emergency-stop-table,1594917638381,1594917638395,1594917639648,1594917639694
emergency-stop-streaming,1594917635353,1594917635379,1594917640660,1594917640668
emergency-stop-table,1594917639381,1594917639424,1594917640714,1594917640727
emergency-stop-table,1594917640387,1594917640404,1594917641686,1594917641691
emergency-stop-streaming,1594917636370,1594917636401,1594917642012,1594917642028
emergency-stop-table,1594917641391,1594917641400,1594917642676,1594917642689
emergency-stop-streaming,1594917637374,1594917637392,1594917642996,1594917643035
delay-statistics,1594917638383,1594917638396,1594917643449,1594917643539
delay-statistics,1594917637374,1594917637388,1594917643450,1594917643539
delay-statistics,1594917641391,1594917641424,1594917643421,1594917643550
delay-statistics,1594917640387,1594917640405,1594917643424,1594917643552
delay-statistics,1594917639382,1594917639412,1594917643426,1594917643552
vehicle-count,1594917641391,1594917641400,1594917643442,1594917643559
vehicle-count,1594917640387,1594917640404,1594917643527,1594917643608
vehicle-count,1594917637374,1594917637392,1594917643471,1594917643619
vehicle-count,1594917638381,1594917638395,1594917643538,1594917643649
vehicle-count,1594917639381,1594917639424,1594917643543,1594917643652
emergency-stop-table,1594917642393,1594917642403,1594917643744,1594917643762
emergency-stop-streaming,1594917638381,1594917638395,1594917644105,1594917644111
emergency-stop-streaming,1594917639381,1594917639424,1594917644510,1594917644523
emergency-stop-table,1594917643395,1594917643456,1594917644716,1594917644721
emergency-stop-streaming,1594917640387,1594917640404,1594917645659,1594917645667
emergency-stop-table,1594917644400,1594917644424,1594917645701,1594917645710
emergency-stop-streaming,1594917641391,1594917641400,1594917646072,1594917646075
emergency-stop-streaming,1594917642393,1594917642403,1594917646334,1594917646356
emergency-stop-table,1594917645404,1594917645412,1594917646710,1594917646715
emergency-stop-streaming,1594917643395,1594917643456,1594917646820,1594917646824
emergency-stop-streaming,1594917644400,1594917644424,1594917647412,1594917647426
emergency-stop-table,1594917646408,1594917646562,1594917647697,1594917647702
emergency-stop-streaming,1594917645404,1594917645412,1594917647918,1594917647921
vehicle-count,1594917645404,1594917645412,1594917648528,1594917648552
vehicle-count,1594917646408,1594917646562,1594917648530,1594917648579
vehicle-count,1594917642393,1594917642405,1594917648532,1594917648584
vehicle-count,1594917645404,1594917645422,1594917648533,1594917648584
vehicle-count,1594917642393,1594917642403,1594917648537,1594917648588
vehicle-count,1594917643395,1594917643456,1594917648538,1594917648590
vehicle-count,1594917644400,1594917644424,1594917648542,1594917648608
emergency-stop-table,1594917647417,1594917647441,1594917648720,1594917648730
emergency-stop-streaming,1594917646408,1594917646562,1594917648803,1594917648807
delay-statistics,1594917644400,1594917644413,1594917649227,1594917649239
delay-statistics,1594917642393,1594917642401,1594917649235,1594917649276
delay-statistics,1594917643396,1594917643418,1594917649248,1594917649278
delay-statistics,1594917646408,1594917646561,1594917649253,1594917649280
delay-statistics,1594917645404,1594917645411,1594917649255,1594917649281
emergency-stop-table,1594917648421,1594917648474,1594917649743,1594917649752
emergency-stop-streaming,1594917647417,1594917647441,1594917649806,1594917649823
emergency-stop-streaming,1594917648421,1594917648474,1594917650466,1594917650472
emergency-stop-table,1594917649423,1594917649462,1594917650732,1594917650737
emergency-stop-streaming,1594917649423,1594917649462,1594917650932,1594917650954
emergency-stop-streaming,1594917650432,1594917650453,1594917651618,1594917651638
emergency-stop-table,1594917650432,1594917650453,1594917651721,1594917651724
emergency-stop-streaming,1594917651441,1594917651447,1594917652621,1594917652625
