job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-table,1595873910489,1595873910504,1595873911884,1595873911966
emergency-stop-streaming,1595873910489,1595873910504,1595873911934,1595873911966
emergency-stop-streaming,1595873911500,1595873911954,1595873913130,1595873913347
emergency-stop-table,1595873911500,1595873911954,1595873913087,1595873913719
emergency-stop-streaming,1595873912493,1595873912920,1595873914332,1595873914459
emergency-stop-table,1595873912493,1595873912920,1595873914488,1595873914494
emergency-stop-streaming,1595873913496,1595873914239,1595873914534,1595873914540
emergency-stop-table,1595873913496,1595873914239,1595873914688,1595873914694
vehicle-count,1595873911500,1595873911954,1595873915409,1595873915418
vehicle-count,1595873912493,1595873912920,1595873915414,1595873915622
vehicle-count,1595873910487,1595873910672,1595873915419,1595873915631
vehicle-count,1595873913496,1595873914239,1595873915419,1595873915631
vehicle-count,1595873910489,1595873910504,1595873915424,1595873915631
delay-statistics,1595873912493,1595873912516,1595873915470,1595873915632
delay-statistics,1595873910490,1595873910509,1595873915456,1595873915632
delay-statistics,1595873911503,1595873911512,1595873915470,1595873915632
emergency-stop-table,1595873914495,1595873914522,1595873915888,1595873915979
delay-statistics,1595873913498,1595873914229,1595873915470,1595873915986
emergency-stop-streaming,1595873914495,1595873914522,1595873916134,1595873916489
emergency-stop-streaming,1595873915504,1595873915988,1595873916536,1595873916921
emergency-stop-table,1595873915504,1595873915988,1595873916693,1595873916963
emergency-stop-streaming,1595873916504,1595873916719,1595873917737,1595873917775
emergency-stop-table,1595873916504,1595873916719,1595873917893,1595873917969
emergency-stop-streaming,1595873917503,1595873917618,1595873918738,1595873918894
emergency-stop-table,1595873917503,1595873917618,1595873918893,1595873919056
emergency-stop-table,1595873918505,1595873918679,1595873920082,1595873920113
emergency-stop-streaming,1595873918505,1595873918679,1595873920137,1595873920140
vehicle-count,1595873918504,1595873918642,1595873920793,1595873920810
vehicle-count,1595873918505,1595873918679,1595873920793,1595873920810
vehicle-count,1595873914495,1595873914519,1595873920799,1595873920812
vehicle-count,1595873914495,1595873914522,1595873920799,1595873920812
vehicle-count,1595873917503,1595873917618,1595873920805,1595873920824
vehicle-count,1595873915501,1595873915624,1595873920811,1595873920833
vehicle-count,1595873915504,1595873915988,1595873920812,1595873920833
vehicle-count,1595873916500,1595873916506,1595873920810,1595873921081
vehicle-count,1595873916504,1595873916719,1595873920810,1595873921081
vehicle-count,1595873916502,1595873916718,1595873920810,1595873921081
emergency-stop-table,1595873919505,1595873919602,1595873921094,1595873921097
delay-statistics,1595873914495,1595873914531,1595873921120,1595873921142
delay-statistics,1595873915507,1595873915986,1595873921121,1595873921142
delay-statistics,1595873916505,1595873916924,1595873921118,1595873921278
delay-statistics,1595873918506,1595873918643,1595873921118,1595873921278
emergency-stop-streaming,1595873919505,1595873919602,1595873921138,1595873921286
delay-statistics,1595873917504,1595873917614,1595873921118,1595873921289
emergency-stop-table,1595873920510,1595873921062,1595873921682,1595873921854
emergency-stop-streaming,1595873920510,1595873921062,1595873921540,1595873921915
emergency-stop-table,1595873921510,1595873921919,1595873923693,1595873923706
emergency-stop-table,1595873922509,1595873922514,1595873923885,1595873923889
emergency-stop-streaming,1595873922509,1595873922514,1595873924040,1595873924135
emergency-stop-streaming,1595873921510,1595873921919,1595873924040,1595873924854
emergency-stop-table,1595873923513,1595873923681,1595873924930,1595873924932
emergency-stop-streaming,1595873923513,1595873923681,1595873924840,1595873925288
vehicle-count,1595873919505,1595873919973,1595873925800,1595873926212
vehicle-count,1595873923512,1595873923705,1595873925809,1595873926214
vehicle-count,1595873919505,1595873919602,1595873925800,1595873926214
vehicle-count,1595873921510,1595873921919,1595873925800,1595873926215
vehicle-count,1595873920510,1595873921062,1595873925802,1595873926215
vehicle-count,1595873923511,1595873923731,1595873925803,1595873926318
vehicle-count,1595873923513,1595873923681,1595873925804,1595873926318
delay-statistics,1595873919505,1595873919972,1595873925762,1595873926324
delay-statistics,1595873920512,1595873921064,1595873925762,1595873926324
delay-statistics,1595873922509,1595873922514,1595873925762,1595873926324
vehicle-count,1595873922509,1595873922634,1595873925803,1595873926331
vehicle-count,1595873922509,1595873922514,1595873925803,1595873926331
delay-statistics,1595873921510,1595873921882,1595873925766,1595873926797
delay-statistics,1595873923514,1595873923705,1595873925766,1595873926797
emergency-stop-streaming,1595873924515,1595873924519,1595873926642,1595873926804
emergency-stop-streaming,1595873925522,1595873925692,1595873926644,1595873926804
emergency-stop-table,1595873924515,1595873924519,1595873926787,1595873927001
emergency-stop-table,1595873925522,1595873925692,1595873926803,1595873927001
emergency-stop-streaming,1595873926523,1595873926528,1595873927844,1595873927848
emergency-stop-table,1595873926523,1595873926528,1595873927997,1595873928121
emergency-stop-streaming,1595873927521,1595873927599,1595873929048,1595873929541
emergency-stop-table,1595873927521,1595873927599,1595873928988,1595873929541
emergency-stop-streaming,1595873928522,1595873929007,1595873930045,1595873930271
emergency-stop-table,1595873928522,1595873929007,1595873930401,1595873930601
delay-statistics,1595873925525,1595873925620,1595873930726,1595873930803
delay-statistics,1595873924516,1595873924608,1595873930725,1595873930811
delay-statistics,1595873928522,1595873928526,1595873930726,1595873930811
delay-statistics,1595873926524,1595873926528,1595873930724,1595873930811
delay-statistics,1595873927521,1595873927598,1595873930728,1595873930812
emergency-stop-table,1595873929523,1595873929943,1595873931001,1595873931038
vehicle-count,1595873928522,1595873929007,1595873930903,1595873931049
vehicle-count,1595873925520,1595873925691,1595873930902,1595873931049
vehicle-count,1595873927521,1595873927667,1595873930889,1595873931062
vehicle-count,1595873927521,1595873927599,1595873930889,1595873931062
vehicle-count,1595873926523,1595873926528,1595873930891,1595873931064
vehicle-count,1595873925522,1595873925692,1595873930892,1595873931064
vehicle-count,1595873925516,1595873925619,1595873930899,1595873931065
vehicle-count,1595873924515,1595873924519,1595873930899,1595873931065
emergency-stop-streaming,1595873929523,1595873929943,1595873931046,1595873931117
emergency-stop-table,1595873930524,1595873930542,1595873931992,1595873932446
emergency-stop-streaming,1595873930524,1595873930542,1595873932045,1595873932475
emergency-stop-table,1595873931525,1595873931827,1595873933193,1595873933687
emergency-stop-streaming,1595873931525,1595873931827,1595873933247,1595873933695
emergency-stop-streaming,1595873932525,1595873932571,1595873933851,1595873933857
emergency-stop-table,1595873932525,1595873932571,1595873934001,1595873934022
emergency-stop-streaming,1595873933526,1595873933695,1595873934652,1595873934812
emergency-stop-table,1595873933526,1595873933695,1595873934796,1595873934999
vehicle-count,1595873930523,1595873930667,1595873935304,1595873935312
vehicle-count,1595873930524,1595873930542,1595873935304,1595873935312
vehicle-count,1595873931524,1595873931823,1595873935303,1595873935320
vehicle-count,1595873931525,1595873931827,1595873935303,1595873935320
vehicle-count,1595873932525,1595873932571,1595873935308,1595873935322
vehicle-count,1595873930524,1595873930542,1595873935308,1595873935322
vehicle-count,1595873932525,1595873932528,1595873935306,1595873935408
vehicle-count,1595873929523,1595873929943,1595873935306,1595873935471
vehicle-count,1595873933526,1595873933695,1595873935302,1595873935471
emergency-stop-table,1595873934531,1595873934540,1595873935805,1595873935834
delay-statistics,1595873933526,1595873933557,1595873935972,1595873935977
emergency-stop-streaming,1595873934531,1595873934540,1595873936050,1595873936184
delay-statistics,1595873929523,1595873929944,1595873935973,1595873936184
delay-statistics,1595873930524,1595873930542,1595873935974,1595873936184
delay-statistics,1595873931525,1595873931823,1595873935971,1595873936307
delay-statistics,1595873932525,1595873932845,1595873935971,1595873936307
emergency-stop-streaming,1595873935530,1595873935841,1595873937054,1595873937165
emergency-stop-table,1595873935530,1595873935841,1595873937607,1595873937842
emergency-stop-streaming,1595873936531,1595873936740,1595873938251,1595873938378
emergency-stop-table,1595873936531,1595873936740,1595873938407,1595873938412
emergency-stop-table,1595873937535,1595873937610,1595873938804,1595873938984
emergency-stop-streaming,1595873937535,1595873937610,1595873938655,1595873939198
emergency-stop-streaming,1595873938539,1595873939154,1595873939656,1595873939746
emergency-stop-table,1595873938539,1595873939154,1595873939795,1595873940511
vehicle-count,1595873937535,1595873937610,1595873940507,1595873940538
vehicle-count,1595873936531,1595873936979,1595873940506,1595873940539
vehicle-count,1595873934531,1595873934540,1595873940510,1595873940555
vehicle-count,1595873934529,1595873934615,1595873940510,1595873940555
vehicle-count,1595873936531,1595873936740,1595873940506,1595873940558
vehicle-count,1595873936531,1595873936740,1595873940506,1595873940558
emergency-stop-table,1595873939543,1595873939764,1595873940808,1595873940828
vehicle-count,1595873938539,1595873939154,1595873940509,1595873940864
vehicle-count,1595873937535,1595873937840,1595873940511,1595873940866
vehicle-count,1595873935530,1595873935841,1595873940509,1595873940866
vehicle-count,1595873934527,1595873934540,1595873940510,1595873940866
emergency-stop-streaming,1595873939543,1595873939764,1595873940853,1595873940946
delay-statistics,1595873934533,1595873934538,1595873940831,1595873941059
delay-statistics,1595873936531,1595873936953,1595873940831,1595873941059
delay-statistics,1595873937535,1595873937798,1595873940832,1595873941059
delay-statistics,1595873935530,1595873935841,1595873940834,1595873941104
delay-statistics,1595873938539,1595873938751,1595873940833,1595873941110
emergency-stop-streaming,1595873940545,1595873940563,1595873941658,1595873941673
emergency-stop-table,1595873940545,1595873940563,1595873941807,1595873942054
emergency-stop-streaming,1595873941554,1595873941624,1595873942658,1595873942662
emergency-stop-table,1595873941554,1595873941624,1595873942801,1595873943019
emergency-stop-streaming,1595873942552,1595873942607,1595873943754,1595873943806
emergency-stop-table,1595873942552,1595873942607,1595873943800,1595873944219
emergency-stop-streaming,1595873943555,1595873943583,1595873944956,1595873944961
emergency-stop-table,1595873943555,1595873943583,1595873945001,1595873945201
vehicle-count,1595873939543,1595873939764,1595873945298,1595873945421
vehicle-count,1595873943555,1595873943583,1595873945301,1595873946882
vehicle-count,1595873940545,1595873940563,1595873945301,1595873946883
vehicle-count,1595873942551,1595873942701,1595873945302,1595873946884
vehicle-count,1595873942552,1595873942607,1595873945302,1595873946884
vehicle-count,1595873941554,1595873941624,1595873945302,1595873946884
vehicle-count,1595873942551,1595873942556,1595873945304,1595873946885
