job,ingress_ingestion_timestamp,ingress_consumption_timestamp,egress_ingestion_timestamp,egress_consumption_timestamp
emergency-stop-detection-streaming,1598358385885,1598358385890,1598358386959,1598358386995
emergency-stop-detection-table,1598358385885,1598358385890,1598358387007,1598358387047
emergency-stop-detection-streaming,1598358386884,1598358386891,1598358387884,1598358387890
emergency-stop-detection-streaming,1598358387889,1598358387901,1598358388886,1598358388902
emergency-stop-detection-streaming,1598358388890,1598358388893,1598358389744,1598358389799
emergency-stop-detection-table,1598358388890,1598358388893,1598358389823,1598358389845
vehicle-distribution,1598358387887,1598358387904,1598358390062,1598358390080
vehicle-distribution,1598358387889,1598358387901,1598358390062,1598358390080
vehicle-distribution,1598358387887,1598358387900,1598358390062,1598358390080
vehicle-distribution,1598358386884,1598358386891,1598358390063,1598358390080
vehicle-distribution,1598358385885,1598358385890,1598358390064,1598358390080
delay-distribution,1598358387889,1598358387900,1598358390652,1598358390658
delay-distribution,1598358385885,1598358385890,1598358390664,1598358390672
delay-distribution,1598358386885,1598358386892,1598358390664,1598358390672
emergency-stop-detection-streaming,1598358389892,1598358389898,1598358390772,1598358390777
emergency-stop-detection-streaming,1598358390895,1598358390899,1598358391895,1598358391902
emergency-stop-detection-streaming,1598358391897,1598358391902,1598358392776,1598358392788
emergency-stop-detection-table,1598358391897,1598358391902,1598358392913,1598358392918
emergency-stop-detection-streaming,1598358392898,1598358392906,1598358393775,1598358393781
emergency-stop-detection-table,1598358393900,1598358393908,1598358394834,1598358394845
emergency-stop-detection-streaming,1598358393900,1598358393908,1598358394899,1598358394905
vehicle-distribution,1598358390895,1598358390899,1598358394916,1598358394931
vehicle-distribution,1598358392898,1598358392906,1598358394924,1598358394941
vehicle-distribution,1598358389892,1598358389898,1598358394924,1598358394941
vehicle-distribution,1598358388890,1598358388893,1598358394935,1598358394947
vehicle-distribution,1598358391897,1598358391902,1598358394935,1598358394948
emergency-stop-detection-streaming,1598358394905,1598358394923,1598358395786,1598358395793
emergency-stop-detection-table,1598358394905,1598358394923,1598358395932,1598358395936
delay-distribution,1598358389892,1598358389898,1598358396132,1598358396143
delay-distribution,1598358390895,1598358390899,1598358396133,1598358396143
delay-distribution,1598358392898,1598358392913,1598358396134,1598358396144
delay-distribution,1598358388891,1598358388895,1598358396138,1598358396144
delay-distribution,1598358391898,1598358391905,1598358396136,1598358396144
emergency-stop-detection-streaming,1598358396915,1598358396921,1598358397906,1598358397910
emergency-stop-detection-table,1598358396915,1598358396921,1598358398133,1598358398137
emergency-stop-detection-streaming,1598358397918,1598358397923,1598358399105,1598358399109
emergency-stop-detection-table,1598358397918,1598358397923,1598358399134,1598358399138
